State,City,Name,Type,Establishment Year,time needed to visit in hrs,Google review rating,Entrance Fee in INR,Airport with 50km Radius,Weekly Off,Significance,DSLR Allowed,Number of google review in lakhs,Best Time to visit,Country,Maps,Nearest Airport,Major Railway Station,Taxi Fare (Airport to City),Scooter Rental (Per Day),Must Try Food,Travel Tip,Time Slot,Area,Ideal For,Budget Level,Nightlife Spot,Day Priority,Is_Shopping,Is_Beach,Adventure_Available,Avg_Adventure_Base_Price,Famous Market,Famous Restaurant,Best Season,Food Specialty,Tourism Score (1-10),Latitude,Longitude,Popularity Index (0-100),Nightlife Hotspot,Heritage Category,Type_Encoded,Heritage_Encoded,Nightlife Score (0-10)
Andhra Pradesh,Srisailam,Mallikarjuna Swamy Temple,Temple,14th century,1.0,4.7,0,No,Open All Days,Religious,No,0.49,All,India,https://www.google.com/maps/search/?api=1&query=Mallikarjuna%20Swamy%20Temple%2C%20Srisailam%2C%20Andhra%20Pradesh%2C%20India,Srisailam Airport,Srisailam Railway Station,"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Morning,City Center,Family & Friends,Mid-Range,No,2.0,No,No,No,0,Srisailam Main Market,Srisailam Famous Restaurant,October to March,Srisailam Special Cuisine,8,,,75.0,No,Religious Heritage,75,1,5.4
Andhra Pradesh,Vijayawada,Kanaka Durga Temple,Temple,,1.0,4.7,0,Yes,Open All Days,Religious,No,0.44,All,India,https://www.google.com/maps/search/?api=1&query=Kanaka%20Durga%20Temple%2C%20Vijayawada%2C%20Andhra%20Pradesh%2C%20India,Vijayawada Airport,Vijayawada Railway Station,"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Morning,City Center,Family & Friends,Mid-Range,No,2.0,No,No,No,0,Vijayawada Main Market,Vijayawada Famous Restaurant,October to March,Vijayawada Special Cuisine,8,,,75.0,No,Religious Heritage,75,1,5.4
Andhra Pradesh,Visakhapatnam,Rishikonda Beach,Beach,,1.5,4.5,0,Yes,Open All Days,Recreational,Yes,0.39,Morning,India,https://www.google.com/maps/search/?api=1&query=Rishikonda%20Beach%2C%20Visakhapatnam%2C%20Andhra%20Pradesh%2C%20India,Visakhapatnam International Airport,Visakhapatnam Junction,"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Afternoon,City Center,Family & Friends,Mid-Range,No,2.0,No,Yes,Yes,1000,Jagadamba Centre,Venkateswara Swamy Hotel,October to March,Visakhapatnam Special Cuisine,8,,,72.0,No,Non-Religious,4,0,5.0
Andhra Pradesh,Visakhapatnam,Kailasagiri,Hill,,2.0,4.5,0,Yes,Open All Days,Recreational,Yes,0.019,All,India,https://www.google.com/maps/search/?api=1&query=Kailasagiri%2C%20Visakhapatnam%2C%20Andhra%20Pradesh%2C%20India,Visakhapatnam International Airport,Visakhapatnam Junction,"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Evening,City Center,Family & Friends,Mid-Range,No,2.0,No,No,No,0,Jagadamba Centre,Venkateswara Swamy Hotel,October to March,Visakhapatnam Special Cuisine,8,,,72.0,No,Non-Religious,27,0,5.0
Andhra Pradesh,Visakhapatnam,Submarine Museum,Museum,,1.0,4.6,40,Yes,Open All Days,Historical,Yes,0.49,All,India,https://www.google.com/maps/search/?api=1&query=Submarine%20Museum%2C%20Visakhapatnam%2C%20Andhra%20Pradesh%2C%20India,Visakhapatnam International Airport,Visakhapatnam Junction,"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Afternoon,City Center,Family & Friends,Mid-Range,No,2.0,No,No,No,0,Jagadamba Centre,Venkateswara Swamy Hotel,October to March,Visakhapatnam Special Cuisine,8,,,74.0,No,Non-Religious,42,0,5.2
Andhra Pradesh,Visakhapatnam,Borra Caves,Cave,,2.0,4.5,60,No,Open All Days,Natural Wonder,Yes,0.31,Afternoon,India,https://www.google.com/maps/search/?api=1&query=Borra%20Caves%2C%20Visakhapatnam%2C%20Andhra%20Pradesh%2C%20India,Visakhapatnam International Airport,Visakhapatnam Junction,"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Flexible,City Center,Family & Friends,Mid-Range,No,2.0,No,No,No,0,Jagadamba Centre,Venkateswara Swamy Hotel,October to March,Visakhapatnam Special Cuisine,8,,,72.0,No,Non-Religious,9,0,5.0
Andhra Pradesh,Visakhapatnam,War Memorial,War Memorial,,1.0,4.6,0,Yes,Open All Days,Historical,Yes,0.059,All,India,https://www.google.com/maps/search/?api=1&query=War%20Memorial%2C%20Visakhapatnam%2C%20Andhra%20Pradesh%2C%20India,Visakhapatnam International Airport,Visakhapatnam Junction,"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Flexible,City Center,Family & Friends,Mid-Range,No,2.0,No,No,No,0,Jagadamba Centre,Venkateswara Swamy Hotel,October to March,Visakhapatnam Special Cuisine,8,,,74.0,No,Non-Religious,88,0,5.2
Andhra Pradesh,Visakhapatnam,Indira Gandhi Zoological Park,Zoo,1977,2.0,4.1,20,Yes,Monday,Wildlife,Yes,0.25,Afternoon,India,https://www.google.com/maps/search/?api=1&query=Indira%20Gandhi%20Zoological%20Park%2C%20Visakhapatnam%2C%20Andhra%20Pradesh%2C%20India,Visakhapatnam International Airport,Visakhapatnam Junction,"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Morning,City Center,Family & Friends,Mid-Range,No,2.0,No,No,No,0,Jagadamba Centre,Venkateswara Swamy Hotel,October to March,Visakhapatnam Special Cuisine,8,,,66.0,No,Non-Religious,91,0,4.2
Andhra Pradesh,Visakhapatnam,Matsyadarshini Aquarium,Aquarium,,1.0,3.8,20,Yes,Open All Days,Recreational,Yes,0.03,All,India,https://www.google.com/maps/search/?api=1&query=Matsyadarshini%20Aquarium%2C%20Visakhapatnam%2C%20Andhra%20Pradesh%2C%20India,Visakhapatnam International Airport,Visakhapatnam Junction,"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Flexible,City Center,Family & Friends,Mid-Range,No,2.0,No,No,No,0,Jagadamba Centre,Venkateswara Swamy Hotel,October to March,Visakhapatnam Special Cuisine,8,,,61.0,No,Non-Religious,3,0,3.6
Andhra Pradesh,Visakhapatnam,Visakha Museum,Museum,1991,1.0,4.3,10,Yes,Open All Days,Cultural,Yes,0.065,All,India,https://www.google.com/maps/search/?api=1&query=Visakha%20Museum%2C%20Visakhapatnam%2C%20Andhra%20Pradesh%2C%20India,Visakhapatnam International Airport,Visakhapatnam Junction,"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Afternoon,City Center,Family & Friends,Mid-Range,No,2.0,No,No,No,0,Jagadamba Centre,Venkateswara Swamy Hotel,October to March,Visakhapatnam Special Cuisine,8,,,69.0,No,Non-Religious,42,0,4.6
Andhra Pradesh,Vizianagaram,Simhachalam Temple,Temple,,1.0,4.7,0,Yes,Open All Days,Religious,No,0.59,All,India,https://www.google.com/maps/search/?api=1&query=Simhachalam%20Temple%2C%20Vizianagaram%2C%20Andhra%20Pradesh%2C%20India,Vizianagaram Airport,Vizianagaram Railway Station,"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Morning,City Center,Family & Friends,Mid-Range,No,2.0,No,No,No,0,Vizianagaram Main Market,Vizianagaram Famous Restaurant,October to March,Vizianagaram Special Cuisine,8,,,75.0,No,Religious Heritage,75,1,5.4
Arunachal Pradesh,Tawang,Tawang Monastery,Monastery,1680,2.0,4.7,0,No,Open All Days,Religious,No,0.032,Morning,India,https://www.google.com/maps/search/?api=1&query=Tawang%20Monastery%2C%20Tawang%2C%20Arunachal%20Pradesh%2C%20India,Tezpur Airport,None (Nearest: Bhalukpong),"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Flexible,City Center,Family & Friends,Mid-Range,No,2.0,No,No,No,0,Tawang Main Market,Tawang Famous Restaurant,October to March,Tawang Special Cuisine,8,,,75.0,No,Non-Religious,38,0,5.4
Assam,Guwahati,Kamakhya Temple,Temple,,2.0,4.6,0,Yes,Open All Days,Religious,No,0.21,All,India,https://www.google.com/maps/search/?api=1&query=Kamakhya%20Temple%2C%20Guwahati%2C%20Assam%2C%20India,Lokpriya Gopinath Bordoloi International Airport,Guwahati Railway Station,"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Morning,City Center,Family & Friends,Mid-Range,No,2.0,No,No,No,0,Pan Bazaar,Khorikaa,October to March,Guwahati Special Cuisine,8,,,74.0,No,Religious Heritage,75,1,5.2
Assam,Guwahati,Umananda Island,Island,,1.0,4.1,0,Yes,Open All Days,Nature,Yes,0.01,Morning,India,https://www.google.com/maps/search/?api=1&query=Umananda%20Island%2C%20Guwahati%2C%20Assam%2C%20India,Lokpriya Gopinath Bordoloi International Airport,Guwahati Railway Station,"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Flexible,City Center,Family & Friends,Mid-Range,No,2.0,No,No,No,0,Pan Bazaar,Khorikaa,October to March,Guwahati Special Cuisine,8,,,66.0,No,Non-Religious,31,0,4.2
Assam,Guwahati,Pobitora Wildlife Sanctuary,Wildlife Sanctuary,1987,2.0,4.4,500,Yes,Open All Days,Wildlife,Yes,0.037,All,India,https://www.google.com/maps/search/?api=1&query=Pobitora%20Wildlife%20Sanctuary%2C%20Guwahati%2C%20Assam%2C%20India,Lokpriya Gopinath Bordoloi International Airport,Guwahati Railway Station,"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Morning,City Center,Family & Friends,Mid-Range,No,2.0,No,No,No,0,Pan Bazaar,Khorikaa,October to March,Guwahati Special Cuisine,8,,,70.0,No,Non-Religious,90,0,4.8
Assam,Hajo,Hayagriva Madhava Temple,Temple,,1.0,4.5,0,No,Open All Days,Religious,Yes,0.9,All,India,https://www.google.com/maps/search/?api=1&query=Hayagriva%20Madhava%20Temple%2C%20Hajo%2C%20Assam%2C%20India,Hajo Airport,Hajo Railway Station,"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Morning,City Center,Family & Friends,Mid-Range,No,2.0,No,No,No,0,Hajo Main Market,Hajo Famous Restaurant,October to March,Hajo Special Cuisine,8,,,72.0,No,Religious Heritage,75,1,5.0
Assam,Kaziranga,Kaziranga National Park,National Park,1905,3.0,4.5,650,No,Open All Days,Wildlife,No,0.068,Morning,India,https://www.google.com/maps/search/?api=1&query=Kaziranga%20National%20Park%2C%20Kaziranga%2C%20Assam%2C%20India,Jorhat Airport / Guwahati Airport,Furkating Junction,"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Morning,City Center,Family & Friends,Mid-Range,No,2.0,No,No,No,0,Kaziranga Main Market,Kaziranga Famous Restaurant,October to March,Kaziranga Special Cuisine,8,,,72.0,No,Non-Religious,43,0,5.0
Assam,Majuli,Majuli Island,River Island,,2.0,4.7,0,No,Open All Days,Cultural,Yes,0.01,Morning,India,https://www.google.com/maps/search/?api=1&query=Majuli%20Island%2C%20Majuli%2C%20Assam%2C%20India,Majuli Airport,Majuli Railway Station,"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Flexible,City Center,Family & Friends,Mid-Range,No,2.0,No,No,No,0,Majuli Main Market,Majuli Famous Restaurant,October to March,Majuli Special Cuisine,8,,,75.0,No,Non-Religious,60,0,5.4
Assam,Manas,Manas National Park,National Park,1990,3.0,4.6,500,No,Open All Days,Wildlife,Yes,0.19,Morning,India,https://www.google.com/maps/search/?api=1&query=Manas%20National%20Park%2C%20Manas%2C%20Assam%2C%20India,Manas Airport,Manas Railway Station,"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Morning,City Center,Family & Friends,Mid-Range,No,2.0,No,No,No,0,Manas Main Market,Manas Famous Restaurant,October to March,Manas Special Cuisine,8,,,74.0,No,Non-Religious,43,0,5.2
Assam,Sivasagar,Sivasagar Sivadol,Temple,1734,1.0,4.7,0,No,Open All Days,Historical,Yes,0.065,All,India,https://www.google.com/maps/search/?api=1&query=Sivasagar%20Sivadol%2C%20Sivasagar%2C%20Assam%2C%20India,Sivasagar Airport,Sivasagar Railway Station,"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Morning,City Center,Family & Friends,Mid-Range,No,2.0,No,No,No,0,Sivasagar Main Market,Sivasagar Famous Restaurant,October to March,Sivasagar Special Cuisine,8,,,75.0,No,Non-Religious,75,0,5.4
Bihar,Bodh Gaya,Mahabodhi Temple,Temple,,1.5,4.7,0,Yes,Open All Days,Religious,Yes,0.2,All,India,https://www.google.com/maps/search/?api=1&query=Mahabodhi%20Temple%2C%20Bodh%20Gaya%2C%20Bihar%2C%20India,Bodh Gaya Airport,Bodh Gaya Railway Station,"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Morning,City Center,Family & Friends,Mid-Range,No,2.0,No,No,No,0,Bodh Gaya Main Market,Bodh Gaya Famous Restaurant,October to March,Bodh Gaya Special Cuisine,8,,,75.0,No,Religious Heritage,75,1,5.4
Bihar,Patna,Sanjay Gandhi Biological Park,Zoo,,2.5,4.3,30,Yes,Open All Days,Wildlife,Yes,0.5,All,India,https://www.google.com/maps/search/?api=1&query=Sanjay%20Gandhi%20Biological%20Park%2C%20Patna%2C%20Bihar%2C%20India,Jay Prakash Narayan Airport,Patna Junction,"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Morning,City Center,Family & Friends,Mid-Range,No,2.0,No,No,No,0,Maurya Lok,Bansi Vihar,October to March,Patna Special Cuisine,8,,,69.0,No,Non-Religious,91,0,4.6
Bihar,Patna,Takhat Shri Harimandir Ji Patna Sahib,Gurudwara,,1.0,4.7,0,Yes,Open All Days,Religious,Yes,0.25,All,India,https://www.google.com/maps/search/?api=1&query=Takhat%20Shri%20Harimandir%20Ji%20Patna%20Sahib%2C%20Patna%2C%20Bihar%2C%20India,Jay Prakash Narayan Airport,Patna Junction,"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Morning,City Center,Family & Friends,Mid-Range,No,2.0,No,No,No,0,Maurya Lok,Bansi Vihar,October to March,Patna Special Cuisine,8,,,75.0,No,Non-Religious,26,0,5.4
Bihar,Patna,Budhha Smriti Park,Park,,1.0,4.4,10,Yes,Open All Days,Cultural,Yes,0.31,All,India,https://www.google.com/maps/search/?api=1&query=Budhha%20Smriti%20Park%2C%20Patna%2C%20Bihar%2C%20India,Jay Prakash Narayan Airport,Patna Junction,"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Morning,City Center,Family & Friends,Mid-Range,No,2.0,No,No,No,0,Maurya Lok,Bansi Vihar,October to March,Patna Special Cuisine,8,,,70.0,No,Non-Religious,49,0,4.8
Chhattisgarh,Bastar,Chitrakote Falls,Waterfall,,1.5,4.6,0,No,Open All Days,Nature,Yes,0.19,Morning,India,https://www.google.com/maps/search/?api=1&query=Chitrakote%20Falls%2C%20Bastar%2C%20Chhattisgarh%2C%20India,Bastar Airport,Bastar Railway Station,"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Morning,City Center,Family & Friends,Mid-Range,No,2.0,No,No,No,0,Bastar Main Market,Bastar Famous Restaurant,October to March,Bastar Special Cuisine,8,,,74.0,No,Non-Religious,89,0,5.2
Dadra and Nagar Haveli and Daman and Diu,Diu,Naida Caves,Cave,,1.0,4.5,0,No,Open All Days,Nature,Yes,0.6,Afternoon,India,https://www.google.com/maps/search/?api=1&query=Naida%20Caves%2C%20Diu%2C%20Daman%20and%20Diu%2C%20India,Diu Airport,Veraval Railway Station,"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Flexible,City Center,Family & Friends,Mid-Range,No,2.0,No,No,No,0,Diu Main Market,Diu Famous Restaurant,October to March,Diu Special Cuisine,8,,,72.0,No,Non-Religious,9,0,5.0
Dadra and Nagar Haveli and Daman and Diu,Diu,Diu Fort,Fort,1535,1.5,4.6,0,No,Open All Days,Historical,Yes,1.2,Afternoon,India,https://www.google.com/maps/search/?api=1&query=Diu%20Fort%2C%20Diu%2C%20Daman%20and%20Diu%2C%20India,Diu Airport,Veraval Railway Station,"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Morning,City Center,Family & Friends,Mid-Range,No,2.0,No,No,No,0,Diu Main Market,Diu Famous Restaurant,October to March,Diu Special Cuisine,8,,,74.0,No,Non-Religious,21,0,5.2
Delhi,Delhi,India Gate,War Memorial,1921,0.5,4.6,0,Yes,Open All Days,Historical,Yes,2.6,Evening,India,https://www.google.com/maps/search/?api=1&query=India%20Gate%2C%20Delhi%2C%20Delhi%2C%20India,Indira Gandhi International Airport,New Delhi Railway Station (NDLS),"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Flexible,City Center,Family & Friends,Mid-Range,No,2.0,No,No,No,0,"Chandni Chowk, Sarojini Nagar, Khan Market",Karim's,October to March,Delhi Special Cuisine,8,28.7041,77.1025,74.0,Yes,Non-Religious,88,0,9.2
Delhi,Delhi,India Gate,War Memorial,1921,0.5,4.6,0,Yes,Open All Days,Historical,Yes,2.6,Evening,India,https://www.google.com/maps/search/?api=1&query=India%20Gate%2C%20Delhi%2C%20Delhi%2C%20India,Indira Gandhi International Airport,New Delhi Railway Station (NDLS),"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Flexible,City Center,Family & Friends,Mid-Range,No,2.0,No,No,No,0,"Chandni Chowk, Sarojini Nagar, Khan Market",Indian Accent,October to March,Delhi Special Cuisine,8,28.7041,77.1025,74.0,Yes,Non-Religious,88,0,9.2
Delhi,Delhi,India Gate,War Memorial,1921,0.5,4.6,0,Yes,Open All Days,Historical,Yes,2.6,Evening,India,https://www.google.com/maps/search/?api=1&query=India%20Gate%2C%20Delhi%2C%20Delhi%2C%20India,Indira Gandhi International Airport,New Delhi Railway Station (NDLS),"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Flexible,City Center,Family & Friends,Mid-Range,No,2.0,No,No,No,0,"Chandni Chowk, Sarojini Nagar, Khan Market",Gulati,October to March,Delhi Special Cuisine,8,28.7041,77.1025,74.0,Yes,Non-Religious,88,0,9.2
Delhi,Delhi,Humayun's Tomb,Tomb,1572,2.0,4.5,30,Yes,Open All Days,Historical,Yes,0.4,Afternoon,India,https://www.google.com/maps/search/?api=1&query=Humayun%27s%20Tomb%2C%20Delhi%2C%20Delhi%2C%20India,Indira Gandhi International Airport,New Delhi Railway Station (NDLS),"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Flexible,City Center,Family & Friends,Mid-Range,No,2.0,No,No,No,0,"Chandni Chowk, Sarojini Nagar, Khan Market",Karim's,October to March,Delhi Special Cuisine,8,28.7041,77.1025,72.0,Yes,Non-Religious,78,0,9.0
Delhi,Delhi,Humayun's Tomb,Tomb,1572,2.0,4.5,30,Yes,Open All Days,Historical,Yes,0.4,Afternoon,India,https://www.google.com/maps/search/?api=1&query=Humayun%27s%20Tomb%2C%20Delhi%2C%20Delhi%2C%20India,Indira Gandhi International Airport,New Delhi Railway Station (NDLS),"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Flexible,City Center,Family & Friends,Mid-Range,No,2.0,No,No,No,0,"Chandni Chowk, Sarojini Nagar, Khan Market",Indian Accent,October to March,Delhi Special Cuisine,8,28.7041,77.1025,72.0,Yes,Non-Religious,78,0,9.0
Delhi,Delhi,Humayun's Tomb,Tomb,1572,2.0,4.5,30,Yes,Open All Days,Historical,Yes,0.4,Afternoon,India,https://www.google.com/maps/search/?api=1&query=Humayun%27s%20Tomb%2C%20Delhi%2C%20Delhi%2C%20India,Indira Gandhi International Airport,New Delhi Railway Station (NDLS),"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Flexible,City Center,Family & Friends,Mid-Range,No,2.0,No,No,No,0,"Chandni Chowk, Sarojini Nagar, Khan Market",Gulati,October to March,Delhi Special Cuisine,8,28.7041,77.1025,72.0,Yes,Non-Religious,78,0,9.0
