State,City,Name,Type,Establishment Year,time needed to visit in hrs,Google review rating,Entrance Fee in INR,Airport with 50km Radius,Weekly Off,Significance,DSLR Allowed,Number of google review in lakhs,Best Time to visit,Country,Maps,Nearest Airport,Major Railway Station,Taxi Fare (Airport to City),Scooter Rental (Per Day),Must Try Food,Travel Tip,Time Slot,Area,Ideal For,Budget Level,Nightlife Spot,Day Priority,Is_Shopping,Is_Beach,Adventure_Available,Avg_Adventure_Base_Price,Famous Market,Famous Restaurant,Best Season,Food Specialty,Tourism Score (1-10),Latitude,Longitude,Popularity Index (0-100),Nightlife Hotspot,Heritage Category,Type_Encoded,Heritage_Encoded,Nightlife Score (0-10),Place_Image_URL,Nearby_Restaurants,Nearby_Hotels,Local_Transport_Options,Nearest_Metro_Station,Avg_Local_Transport_Cost,Climate_Type,Packing_Suggestions,Recommended_Duration_Min,Recommended_Duration_Max,Short_Description,User_Rating_Avg,User_Rating_Count,Peak_Hours,Crowd_Level,Best_Visit_Time,Place_Description_AI,Common_Questions,Name_Hindi,Description_Hindi,Name_Marathi,Trip_Preference_Tags,Itinerary_Role,City_Transport_Fares_JSON,Auto_Fare_Min,Auto_Fare_PerKm,Rapido_Bike_Min,Rapido_Bike_PerKm,Ola_Car_Base,Ola_Car_PerKm,Uber_Car_Base,Uber_Car_PerKm,Uber_Auto_Min,Uber_Auto_PerKm,City_Taxi_PerKm,Transport_Fare_Note,Surge_Pricing_Note,Nightlife_Party_Info_JSON,Venue_Type,Cover_Charge,Avg_Drinks_Price,Music_Genre,Club_Timings,Dress_Code,Ladies_Night_Info,Nightlife_Note
Uttarakhand,Nainital,Snow View Point,Scenic Viewpoint,Ancient,2.0,4.5,0.0,Unknown,Unknown,Unknown,Unknown,0.095,March to June & September to November,India,Information not available,Pantnagar Airport,Kathgodam Railway Station,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Medium,Unknown,2.0,Unknown,Unknown,Unknown,0.0,Unknown,Unknown,Unknown,Unknown,9.1,0.0,0.0,87.0,Unknown,Unknown,103,2,5.2,https://source.unsplash.com/featured/?tourist-attraction,Popular restaurants in Nainital,Top hotels near Snow View Point in Nainital,"Taxi, Bus, Metro",Nainital Metro Station,300,Humid Subtropical,"Light cotton clothes, hat, sunscreen, camera",60,180,Snow View Point is a famous tourist attraction located in Nainital.,4.5,0,5 PM - 9 PM,5,October - March,"Snow View Point is known for its cultural importance, scenic surroundings, and unique travel experience for visitors.",What is the best time to visit Snow View Point?,Snow View Point,Snow View Point Nainital में स्थित एक प्रसिद्ध पर्यटन स्थल है।,Snow View Point,"Nature, Popular",Any Time,"{""Auto_Min"": ""\u20b920"", ""Auto_PerKm"": ""\u20b910"", ""Rapido_Bike_Min"": ""\u20b920"", ""Rapido_Bike_PerKm"": ""\u20b98"", ""Ola_Car_Base"": ""\u20b935"", ""Ola_Car_PerKm"": ""\u20b916"", ""Uber_Car_Base"": ""\u20b935"", ""Uber_Car_PerKm"": ""\u20b916"", ""Uber_Auto_Min"": ""\u20b920"", ""Uber_Auto_PerKm"": ""\u20b910"", ""City_Taxi_PerKm"": ""\u20b915-22/km"", ""Note"": ""2025 Uttarakhand rates""}",₹20,₹10,₹20,₹8,₹35,₹16,₹35,₹16,₹20,₹10,₹15-22/km,2025 Uttarakhand rates,"Peak hours (8-10AM, 5-9PM): up to 2x base. Off-peak: 50% minimum applies. Source: MoRTH 2025 guidelines",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Maharashtra,Kolhapur,Mahalaxmi Temple,Temple,7th Century,1.5,4.8,0.0,Yes,Open All Days,Important Shakti Peeth known for its architectural beauty,No,0.6,Morning,India,http://googleusercontent.com/maps.google.com/mh21,Kolhapur Airport,Kolhapur Railway Station,"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Morning,City Center,Family & Friends,Mid-Range,No,2.0,No,No,No,0.0,Kolhapur Main Market,Kolhapur Famous Restaurant,October to March,Kolhapur Special Cuisine,8.0,0.0,0.0,77.0,No,Religious Heritage,3,1,5.6,https://source.unsplash.com/featured/?tourist-attraction,Popular restaurants in Kolhapur,Top hotels near Mahalaxmi Temple in Kolhapur,"Taxi, Bus, Metro",Kolhapur Metro Station,300,Coastal Tropical,"Light cotton clothes, hat, sunscreen, camera",60,180,Mahalaxmi Temple is a famous tourist attraction located in Kolhapur.,4.8,0,10 AM - 1 PM,5,October - March,"Mahalaxmi Temple is known for its cultural importance, scenic surroundings, and unique travel experience for visitors.",What is the best time to visit Mahalaxmi Temple?,Mahalaxmi Temple,Mahalaxmi Temple Kolhapur में स्थित एक प्रसिद्ध पर्यटन स्थल है।,Mahalaxmi Temple,"Foodie, History, Popular",Morning,"{""Auto_Min"": ""\u20b926"", ""Auto_PerKm"": ""\u20b917"", ""Rapido_Bike_Min"": ""\u20b915"", ""Rapido_Bike_PerKm"": ""\u20b910"", ""Ola_Car_Base"": ""\u20b940"", ""Ola_Car_PerKm"": ""\u20b918"", ""Uber_Car_Base"": ""\u20b940"", ""Uber_Car_PerKm"": ""\u20b918"", ""Uber_Auto_Min"": ""\u20b926"", ""Uber_Auto_PerKm"": ""\u20b917"", ""City_Taxi_PerKm"": ""\u20b917-22/km"", ""Note"": ""Maharashtra 2025 regulated rates""}",₹26,₹17,₹15,₹10,₹40,₹18,₹40,₹18,₹26,₹17,₹17-22/km,Maharashtra 2025 regulated rates,"Peak hours (8-10AM, 5-9PM): up to 2x base. Off-peak: 50% minimum applies. Source: MoRTH 2025 guidelines",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Goa,North Goa,Club Cubana,Nightlife,Unknown,4.0,4.2,1500.0,Yes,Open All Days,Premium nightclub on Arpora hill with pool,No,0.1,Night,India,https://maps.google.com/?q=Club+Cubana+Goa,Dabolim Airport / Manohar International Airport (Mopa),Madgaon Junction / Karmali / Thivivm,"₹1,200 - ₹2,000",₹400 - ₹600,Drinks (All inclusive entry),"Dress well, it has a dress code.",Night,North Goa,Nightlife / Party,Luxury,Yes,2.0,No,No,No,0.0,Anjuna Flea Market,Britto's,October to March,North Goa Special Cuisine,8.0,0.0,0.0,67.0,No,Non-Religious,90,0,4.4,https://source.unsplash.com/featured/?tourist-attraction,Popular restaurants in North Goa,Top hotels near Club Cubana in North Goa,"Taxi, Bus, Metro",North Goa Metro Station,300,Humid Subtropical,"Comfortable walking shoes, sunscreen, water bottle, sunglasses",60,180,Club Cubana is a famous tourist attraction located in North Goa.,4.2,0,11 AM - 4 PM,5,October - March,"Club Cubana is known for its cultural importance, scenic surroundings, and unique travel experience for visitors.",What is the best time to visit Club Cubana?,Club Cubana,Club Cubana North Goa में स्थित एक प्रसिद्ध पर्यटन स्थल है।,Club Cubana,"Foodie, History, Nightlife, Popular",Night,"{""Auto_Min"": ""\u20b925"", ""Auto_PerKm"": ""\u20b918"", ""Rapido_Bike_Min"": ""\u20b930"", ""Rapido_Bike_PerKm"": ""\u20b910"", ""Ola_Car_Base"": ""\u20b945"", ""Ola_Car_PerKm"": ""\u20b920"", ""Uber_Car_Base"": ""\u20b945"", ""Uber_Car_PerKm"": ""\u20b920"", ""Uber_Auto_Min"": ""N/A"", ""Uber_Auto_PerKm"": ""N/A"", ""City_Taxi_PerKm"": ""\u20b920-30/km (tourist taxis)"", ""Note"": ""Tourist rates; Goa taxis are largely fixed-fare negotiated""}",₹25,₹18,₹30,₹10,₹45,₹20,₹45,₹20,,,₹20-30/km (tourist taxis),Tourist rates; Goa taxis are largely fixed-fare negotiated,"Peak hours (8-10AM, 5-9PM): up to 2x base. Off-peak: 50% minimum applies. Source: MoRTH 2025 guidelines","{""Type"": ""Nightclub (Premium)"", ""Location"": ""82, Sim Waddo, Arpora Hill, Anjuna, Goa"", ""Cover_Charge"": ""\u20b92,500 couple (includes unlimited drinks)"", ""No_Cover_Before"": ""N/A"", ""Avg_Drinks_Price"": ""Included in cover"", ""Music"": ""House, Hip-hop"", ""Timings"": ""9:30 PM \u2013 4 AM"", ""Dress_Code"": ""Smart casual"", ""Ladies_Night"": ""Couples preferred; ladies section available"", ""Note"": ""Hilltop location, multi-level dance floors, pool, spectacular view""}",Nightclub (Premium),"₹2,500 couple (includes unlimited drinks)",Included in cover,"House, Hip-hop",9:30 PM – 4 AM,Smart casual,Couples preferred; ladies section available,"Hilltop location, multi-level dance floors, pool, spectacular view"
Assam,Majuli,Majuli River Island,Island,Ancient,3.0,4.6,50.0,No,Open All Days,Holy island believed to be the residence of Lord Krishna,Yes,0.05,October to April,India,Information not available,Jorhat Airport,Jorhat Railway Station,"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Flexible,City Center,Family & Friends,Medium,No,2.0,No,No,No,0.0,Aberdeen Bazaar,Ananda Restaurant,October to March,Dwarka Special Cuisine,9.1,0.0,0.0,87.0,No,Non-Religious,15,0,5.2,https://source.unsplash.com/featured/?tourist-attraction,Popular restaurants in Majuli,Top hotels near Majuli River Island in Majuli,"Taxi, Bus, Metro",Majuli Metro Station,300,Temperate,"Sunglasses, cap, sunscreen, portable charger",60,180,Majuli River Island is a famous tourist attraction located in Majuli.,4.6,0,11 AM - 4 PM,5,September - February,"Majuli River Island is known for its cultural importance, scenic surroundings, and unique travel experience for visitors.",What is the best time to visit Majuli River Island?,Majuli River Island,Majuli River Island Majuli में स्थित एक प्रसिद्ध पर्यटन स्थल है।,Majuli River Island,"Foodie, History, Nature, Popular",Any Time,"{""Auto_Min"": ""\u20b920-30"", ""Auto_PerKm"": ""\u20b910-15"", ""Rapido_Bike_Min"": ""\u20b920"", ""Rapido_Bike_PerKm"": ""\u20b97"", ""Ola_Car_Base"": ""\u20b935"", ""Ola_Car_PerKm"": ""\u20b914"", ""Uber_Car_Base"": ""\u20b935"", ""Uber_Car_PerKm"": ""\u20b914"", ""Uber_Auto_Min"": ""\u20b920"", ""Uber_Auto_PerKm"": ""\u20b910"", ""City_Taxi_PerKm"": ""\u20b914-18/km"", ""Note"": ""Estimated 2025 Indian rates""}",₹20-30,₹10-15,₹20,₹7,₹35,₹14,₹35,₹14,₹20,₹10,₹14-18/km,Estimated 2025 Indian rates,"Peak hours (8-10AM, 5-9PM): up to 2x base. Off-peak: 50% minimum applies. Source: MoRTH 2025 guidelines",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Himachal Pradesh,Chamba,Lakshmi Narayan Temple Chamba,Temple,Unknown,1.0,4.7,0.0,Yes,Open All Days,Religious,No,0.205,March to June & September to November,India,Information not available,Kangra Airport,Pathankot Junction,"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Morning,City Center,Family & Friends,Medium,No,2.0,No,No,No,0.0,"Crawford Market, Colaba Causeway, Linking Road",Ahdoos,October to March,Mumbai Special Cuisine,9.3,0.0,0.0,89.0,No,Religious Heritage,3,1,5.4,https://source.unsplash.com/featured/?tourist-attraction,Popular restaurants in Chamba,Top hotels near Lakshmi Narayan Temple Chamba in Chamba,"Taxi, Bus, Metro",Chamba Metro Station,300,Tropical,"Comfortable walking shoes, sunscreen, water bottle, sunglasses",60,180,Lakshmi Narayan Temple Chamba is a famous tourist attraction located in Chamba.,4.7,0,10 AM - 1 PM,5,November - February,"Lakshmi Narayan Temple Chamba is known for its cultural importance, scenic surroundings, and unique travel experience for visitors.",What is the best time to visit Lakshmi Narayan Temple Chamba?,Lakshmi Narayan Temple Chamba,Lakshmi Narayan Temple Chamba Chamba में स्थित एक प्रसिद्ध पर्यटन स्थल है।,Lakshmi Narayan Temple Chamba,"Foodie, History, Popular",Morning,"{""Auto_Min"": ""N/A"", ""Auto_PerKm"": ""N/A"", ""Rapido_Bike_Min"": ""\u20b920"", ""Rapido_Bike_PerKm"": ""\u20b98"", ""Ola_Car_Base"": ""\u20b940"", ""Ola_Car_PerKm"": ""\u20b918"", ""Uber_Car_Base"": ""\u20b940"", ""Uber_Car_PerKm"": ""\u20b918"", ""Uber_Auto_Min"": ""N/A"", ""Uber_Auto_PerKm"": ""N/A"", ""City_Taxi_PerKm"": ""\u20b918-25/km (hill stations premium)"", ""Note"": ""Hill station rates \u2014 no regular auto service""}",,,₹20,₹8,₹40,₹18,₹40,₹18,,,₹18-25/km (hill stations premium),Hill station rates — no regular auto service,"Peak hours (8-10AM, 5-9PM): up to 2x base. Off-peak: 50% minimum applies. Source: MoRTH 2025 guidelines",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Haryana,Narnaul,Jal Mahal (Narnaul),Historical Site,1591,1.0,4.3,0.0,No,Open All Days,Water palace built by Shah Quli Khan in the center of a tank,Yes,0.02,Afternoon,India,http://googleusercontent.com/maps.google.com/hr29,Indira Gandhi International Airport,Narnaul Railway Station,"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Flexible,City Center,Family & Friends,Mid-Range,No,2.0,No,No,No,0.0,Narnaul Main Market,Narnaul Famous Restaurant,October to March,Narnaul Special Cuisine,8.0,0.0,0.0,69.0,No,Non-Religious,81,0,4.6,https://source.unsplash.com/featured/?tourist-attraction,Popular restaurants in Narnaul,Top hotels near Jal Mahal (Narnaul) in Narnaul,"Taxi, Bus, Metro",Narnaul Metro Station,300,Temperate,"Light cotton clothes, hat, sunscreen, camera",60,180,Jal Mahal (Narnaul) is a famous tourist attraction located in Narnaul.,4.3,0,11 AM - 4 PM,5,September - February,"Jal Mahal (Narnaul) is known for its cultural importance, scenic surroundings, and unique travel experience for visitors.",What is the best time to visit Jal Mahal (Narnaul)?,Jal Mahal (Narnaul),Jal Mahal (Narnaul) Narnaul में स्थित एक प्रसिद्ध पर्यटन स्थल है।,Jal Mahal (Narnaul),"Foodie, History, Popular",Any Time,"{""Auto_Min"": ""\u20b920-30"", ""Auto_PerKm"": ""\u20b910-15"", ""Rapido_Bike_Min"": ""\u20b920"", ""Rapido_Bike_PerKm"": ""\u20b97"", ""Ola_Car_Base"": ""\u20b935"", ""Ola_Car_PerKm"": ""\u20b914"", ""Uber_Car_Base"": ""\u20b935"", ""Uber_Car_PerKm"": ""\u20b914"", ""Uber_Auto_Min"": ""\u20b920"", ""Uber_Auto_PerKm"": ""\u20b910"", ""City_Taxi_PerKm"": ""\u20b914-18/km"", ""Note"": ""Estimated 2025 Indian rates""}",₹20-30,₹10-15,₹20,₹7,₹35,₹14,₹35,₹14,₹20,₹10,₹14-18/km,Estimated 2025 Indian rates,"Peak hours (8-10AM, 5-9PM): up to 2x base. Off-peak: 50% minimum applies. Source: MoRTH 2025 guidelines",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Maharastra,Mumbai,Sanjay Gandhi National Park,National Park,1996,3.0,4.3,50.0,Yes,Monday,Wildlife,Yes,0.6,All,India,https://www.google.com/maps/search/?api=1&query=Sanjay%20Gandhi%20National%20Park%2C%20Mumbai%2C%20Maharastra%2C%20India,Chhatrapati Shivaji Maharaj International Airport (CSMIA),Mumbai Central,"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Morning,City Center,Family & Friends,Mid-Range,No,2.0,No,No,No,0.0,"Crawford Market, Colaba Causeway, Linking Road",Britannia & Co.,October to March,Mumbai Special Cuisine,8.0,19.076,72.8777,69.0,Yes,Non-Religious,17,0,8.6,https://source.unsplash.com/featured/?tourist-attraction,Popular restaurants in Mumbai,Top hotels near Sanjay Gandhi National Park in Mumbai,"Taxi, Bus, Metro",Mumbai Metro Station,300,Humid Subtropical,"Sunglasses, cap, sunscreen, portable charger",60,180,Sanjay Gandhi National Park is a famous tourist attraction located in Mumbai.,4.3,0,11 AM - 4 PM,5,September - February,"Sanjay Gandhi National Park is known for its cultural importance, scenic surroundings, and unique travel experience for visitors.",What is the best time to visit Sanjay Gandhi National Park?,Sanjay Gandhi National Park,Sanjay Gandhi National Park Mumbai में स्थित एक प्रसिद्ध पर्यटन स्थल है।,Sanjay Gandhi National Park,"Foodie, History, Nature, Popular",Morning,"{""Auto_Min"": ""\u20b926"", ""Auto_PerKm"": ""\u20b917.14"", ""Rapido_Bike_Min"": ""\u20b915"", ""Rapido_Bike_PerKm"": ""\u20b910.27"", ""Ola_Car_Base"": ""\u20b940"", ""Ola_Car_PerKm"": ""\u20b920"", ""Uber_Car_Base"": ""\u20b940"", ""Uber_Car_PerKm"": ""\u20b920.66"", ""Uber_Auto_Min"": ""\u20b930"", ""Uber_Auto_PerKm"": ""\u20b917"", ""City_Taxi_PerKm"": ""\u20b920.66 (Non-AC), \u20b922.72 (AC)"", ""Note"": ""2025 MMRTA regulated rates""}",₹26,₹17.14,₹15,₹10.27,₹40,₹20,₹40,₹20.66,₹30,₹17,"₹20.66 (Non-AC), ₹22.72 (AC)",2025 MMRTA regulated rates,"Peak hours (8-10AM, 5-9PM): up to 2x base. Off-peak: 50% minimum applies. Source: MoRTH 2025 guidelines",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Rajasthan,Jaipur,Jaigarh Fort,Fort,1726,1.5,4.5,35.0,Yes,Open All Days,Historical,Yes,0.3,All,India,https://www.google.com/maps/search/?api=1&query=Jaigarh%20Fort%2C%20Jaipur%2C%20Rajasthan%2C%20India,Jaipur International Airport,Jaipur Junction,₹400 - ₹700,₹400 - ₹600,"Pyaaz Kachori, Laal Maas, Ghevar","Visit forts early to avoid heat, negotiate with local rickshaws.",Morning,City Center,Family & Friends,Mid-Range,No,2.0,No,No,No,0.0,"Johari Bazaar, Bapu Bazaar, Tripolia Bazaar",Chokhi Dhani,October to March,Jaipur Special Cuisine,8.0,26.9124,75.7873,72.0,No,Non-Religious,6,0,5.0,https://source.unsplash.com/featured/?tourist-attraction,Popular restaurants in Jaipur,Top hotels near Jaigarh Fort in Jaipur,"Taxi, Bus, Metro",Jaipur Metro Station,300,Coastal Tropical,"Comfortable walking shoes, sunscreen, water bottle, sunglasses",60,180,Jaigarh Fort is a famous tourist attraction located in Jaipur.,4.5,0,10 AM - 1 PM,5,November - February,"Jaigarh Fort is known for its cultural importance, scenic surroundings, and unique travel experience for visitors.",What is the best time to visit Jaigarh Fort?,Jaigarh Fort,Jaigarh Fort Jaipur में स्थित एक प्रसिद्ध पर्यटन स्थल है।,Jaigarh Fort,"Foodie, History, Popular",Morning,"{""Auto_Min"": ""\u20b925"", ""Auto_PerKm"": ""\u20b912"", ""Rapido_Bike_Min"": ""\u20b920"", ""Rapido_Bike_PerKm"": ""\u20b97"", ""Ola_Car_Base"": ""\u20b935"", ""Ola_Car_PerKm"": ""\u20b914"", ""Uber_Car_Base"": ""\u20b935"", ""Uber_Car_PerKm"": ""\u20b914"", ""Uber_Auto_Min"": ""\u20b925"", ""Uber_Auto_PerKm"": ""\u20b912"", ""City_Taxi_PerKm"": ""\u20b913-17/km"", ""Note"": ""2025 Jaipur rates""}",₹25,₹12,₹20,₹7,₹35,₹14,₹35,₹14,₹25,₹12,₹13-17/km,2025 Jaipur rates,"Peak hours (8-10AM, 5-9PM): up to 2x base. Off-peak: 50% minimum applies. Source: MoRTH 2025 guidelines",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Karnataka,Bangalore,Lalbagh Botanical Garden,Botanical Garden,1760,1.5,4.4,20.0,Yes,Open All Days,Nature,Yes,1.5,Evening,India,https://www.google.com/maps/search/?api=1&query=Lalbagh%20Botanical%20Garden%2C%20Bangalore%2C%20Karnataka%2C%20India,Kempegowda International Airport,Unknown,"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Morning,City Center,Family & Friends,Mid-Range,No,2.0,No,No,No,0.0,Commercial Street,MTR,October to March,Bangalore Special Cuisine,8.0,0.0,0.0,70.0,No,Non-Religious,47,0,4.8,https://source.unsplash.com/featured/?tourist-attraction,Popular restaurants in Bangalore,Top hotels near Lalbagh Botanical Garden in Bangalore,"Taxi, Bus, Metro",Bangalore Metro Station,300,Temperate,"Light cotton clothes, hat, sunscreen, camera",60,180,Lalbagh Botanical Garden is a famous tourist attraction located in Bangalore.,4.4,0,10 AM - 1 PM,5,September - February,"Lalbagh Botanical Garden is known for its cultural importance, scenic surroundings, and unique travel experience for visitors.",What is the best time to visit Lalbagh Botanical Garden?,Lalbagh Botanical Garden,Lalbagh Botanical Garden Bangalore में स्थित एक प्रसिद्ध पर्यटन स्थल है।,Lalbagh Botanical Garden,"Foodie, History, Nature, Popular",Morning,"{""Auto_Min"": ""\u20b930"", ""Auto_PerKm"": ""\u20b915"", ""Rapido_Bike_Min"": ""\u20b920"", ""Rapido_Bike_PerKm"": ""\u20b96"", ""Ola_Car_Base"": ""\u20b935"", ""Ola_Car_PerKm"": ""\u20b915"", ""Uber_Car_Base"": ""\u20b935"", ""Uber_Car_PerKm"": ""\u20b916"", ""Uber_Auto_Min"": ""\u20b930"", ""Uber_Auto_PerKm"": ""\u20b910"", ""City_Taxi_PerKm"": ""\u20b915-20/km"", ""Note"": ""2025 Bengaluru rates""}",₹30,₹15,₹20,₹6,₹35,₹15,₹35,₹16,₹30,₹10,₹15-20/km,2025 Bengaluru rates,"Peak hours (8-10AM, 5-9PM): up to 2x base. Off-peak: 50% minimum applies. Source: MoRTH 2025 guidelines",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
West Bengal,Cooch Behar,Cooch Behar Palace,Palace,1887,1.0,4.5,20.0,Yes,Friday,Historical,Yes,0.09,All,India,https://www.google.com/maps/search/?api=1&query=Cooch%20Behar%20Palace%2C%20Cooch%20Behar%2C%20West%20Bengal%2C%20India,Bagdogra Airport,Cooch Behar Railway Station,"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Morning,City Center,Family & Friends,Mid-Range,No,2.0,No,No,No,0.0,Cooch Behar Main Market,Cooch Behar Famous Restaurant,October to March,Cooch Behar Special Cuisine,8.0,0.0,0.0,72.0,No,Non-Religious,36,0,5.0,https://source.unsplash.com/featured/?tourist-attraction,Popular restaurants in Cooch Behar,Top hotels near Cooch Behar Palace in Cooch Behar,"Taxi, Bus, Metro",Cooch Behar Metro Station,300,Temperate,"Comfortable shoes, light jacket, water bottle",60,180,Cooch Behar Palace is a famous tourist attraction located in Cooch Behar.,4.5,0,11 AM - 4 PM,5,November - February,"Cooch Behar Palace is known for its cultural importance, scenic surroundings, and unique travel experience for visitors.",What is the best time to visit Cooch Behar Palace?,Cooch Behar Palace,Cooch Behar Palace Cooch Behar में स्थित एक प्रसिद्ध पर्यटन स्थल है।,Cooch Behar Palace,"Foodie, History, Popular",Morning,"{""Auto_Min"": ""\u20b925"", ""Auto_PerKm"": ""\u20b912"", ""Rapido_Bike_Min"": ""\u20b920"", ""Rapido_Bike_PerKm"": ""\u20b96"", ""Ola_Car_Base"": ""\u20b935"", ""Ola_Car_PerKm"": ""\u20b913"", ""Uber_Car_Base"": ""\u20b935"", ""Uber_Car_PerKm"": ""\u20b914"", ""Uber_Auto_Min"": ""\u20b925"", ""Uber_Auto_PerKm"": ""\u20b912"", ""City_Taxi_PerKm"": ""\u20b913-16/km"", ""Note"": ""2025 West Bengal rates""}",₹25,₹12,₹20,₹6,₹35,₹13,₹35,₹14,₹25,₹12,₹13-16/km,2025 West Bengal rates,"Peak hours (8-10AM, 5-9PM): up to 2x base. Off-peak: 50% minimum applies. Source: MoRTH 2025 guidelines",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Rajasthan,Udaipur,Lake Pichola,Lake,Ancient,2.0,4.5,0.0,Yes,Open All Days,Nature,Yes,0.0849999999999999,October to March,India,Information not available,Maharana Pratap Airport,Udaipur City Railway Station,"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Evening,City Center,Family & Friends,Medium,No,2.0,No,No,No,0.0,"Laad Bazaar, Begum Bazaar, Shilparamam",Ahdoos,October to March,Hyderabad Special Cuisine,8.0,24.58,73.69,80.0,No,Non-Religious,34,0,5.0,https://source.unsplash.com/featured/?tourist-attraction,Popular restaurants in Udaipur,Top hotels near Lake Pichola in Udaipur,"Taxi, Bus, Metro",Udaipur Metro Station,300,Humid Subtropical,"Comfortable shoes, light jacket, water bottle",60,180,Lake Pichola is a famous tourist attraction located in Udaipur.,4.5,0,10 AM - 1 PM,5,November - February,"Lake Pichola is known for its cultural importance, scenic surroundings, and unique travel experience for visitors.",What is the best time to visit Lake Pichola?,Lake Pichola,Lake Pichola Udaipur में स्थित एक प्रसिद्ध पर्यटन स्थल है।,Lake Pichola,"Foodie, History, Nature, Popular",Evening,"{""Auto_Min"": ""\u20b920"", ""Auto_PerKm"": ""\u20b910"", ""Rapido_Bike_Min"": ""\u20b915"", ""Rapido_Bike_PerKm"": ""\u20b97"", ""Ola_Car_Base"": ""\u20b930"", ""Ola_Car_PerKm"": ""\u20b912"", ""Uber_Car_Base"": ""\u20b930"", ""Uber_Car_PerKm"": ""\u20b913"", ""Uber_Auto_Min"": ""\u20b920"", ""Uber_Auto_PerKm"": ""\u20b910"", ""City_Taxi_PerKm"": ""\u20b912-16/km"", ""Note"": ""2025 Rajasthan rates""}",₹20,₹10,₹15,₹7,₹30,₹12,₹30,₹13,₹20,₹10,₹12-16/km,2025 Rajasthan rates,"Peak hours (8-10AM, 5-9PM): up to 2x base. Off-peak: 50% minimum applies. Source: MoRTH 2025 guidelines",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Odisha,Puri,Chilika Lake,Lake,Ancient,2.0,4.5,0.0,Yes,Open All Days,Nature,Yes,0.0849999999999999,October to February,India,Information not available,Biju Patnaik International Airport,Puri Railway Station,"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Evening,City Center,Family & Friends,Medium,No,2.0,No,No,No,0.0,"Laad Bazaar, Begum Bazaar, Shilparamam",Ahdoos,October to March,Hyderabad Special Cuisine,8.5,0.0,0.0,82.0,No,Non-Religious,34,0,5.0,https://source.unsplash.com/featured/?tourist-attraction,Popular restaurants in Puri,Top hotels near Chilika Lake in Puri,"Taxi, Bus, Metro",Puri Metro Station,300,Coastal Tropical,"Comfortable shoes, light jacket, water bottle",60,180,Chilika Lake is a famous tourist attraction located in Puri.,4.5,0,10 AM - 1 PM,5,November - February,"Chilika Lake is known for its cultural importance, scenic surroundings, and unique travel experience for visitors.",What is the best time to visit Chilika Lake?,Chilika Lake,Chilika Lake Puri में स्थित एक प्रसिद्ध पर्यटन स्थल है।,Chilika Lake,"Foodie, History, Nature, Popular",Evening,"{""Auto_Min"": ""\u20b920"", ""Auto_PerKm"": ""\u20b910"", ""Rapido_Bike_Min"": ""\u20b915"", ""Rapido_Bike_PerKm"": ""\u20b96"", ""Ola_Car_Base"": ""\u20b930"", ""Ola_Car_PerKm"": ""\u20b912"", ""Uber_Car_Base"": ""\u20b930"", ""Uber_Car_PerKm"": ""\u20b912"", ""Uber_Auto_Min"": ""\u20b920"", ""Uber_Auto_PerKm"": ""\u20b910"", ""City_Taxi_PerKm"": ""\u20b912-15/km"", ""Note"": ""2025 Odisha rates""}",₹20,₹10,₹15,₹6,₹30,₹12,₹30,₹12,₹20,₹10,₹12-15/km,2025 Odisha rates,"Peak hours (8-10AM, 5-9PM): up to 2x base. Off-peak: 50% minimum applies. Source: MoRTH 2025 guidelines",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
