State,City,Name,Type,Establishment Year,time needed to visit in hrs,Google review rating,Entrance Fee in INR,Airport with 50km Radius,Weekly Off,Significance,DSLR Allowed,Number of google review in lakhs,Best Time to visit,Country,Maps,Nearest Airport,Major Railway Station
Assam,Guwahati,Umananda Island,Island,Unknown,1.0,4.1,0,Yes,,Nature,Yes,0.01,Morning,India,https://www.google.com/maps/search/?api=1&query=Umananda%20Island%2C%20Guwahati%2C%20Assam%2C%20India,Lokpriya Gopinath Bordoloi International Airport,Guwahati Railway Station
Assam,Guwahati,Pobitora Wildlife Sanctuary,Wildlife Sanctuary,1987,2.0,4.4,500,Yes,,Wildlife,Yes,0.037,All,India,https://www.google.com/maps/search/?api=1&query=Pobitora%20Wildlife%20Sanctuary%2C%20Guwahati%2C%20Assam%2C%20India,Lokpriya Gopinath Bordoloi International Airport,Guwahati Railway Station
Assam,Hajo,Hayagriva Madhava Temple,Temple,Unknown,1.0,4.5,0,No,,Religious,Yes,0.9,All,India,https://www.google.com/maps/search/?api=1&query=Hayagriva%20Madhava%20Temple%2C%20Hajo%2C%20Assam%2C%20India,Hajo Airport,Hajo Railway Station
Assam,Kaziranga,Kaziranga National Park,National Park,1905,3.0,4.5,650,No,,Wildlife,No,0.068,Morning,India,https://www.google.com/maps/search/?api=1&query=Kaziranga%20National%20Park%2C%20Kaziranga%2C%20Assam%2C%20India,Jorhat Airport / Guwahati Airport,Furkating Junction
Assam,Majuli,Majuli Island,River Island,Unknown,2.0,4.7,0,No,,Cultural,Yes,0.01,Morning,India,https://www.google.com/maps/search/?api=1&query=Majuli%20Island%2C%20Majuli%2C%20Assam%2C%20India,Majuli Airport,Majuli Railway Station
Assam,Manas,Manas National Park,National Park,1990,3.0,4.6,500,No,,Wildlife,Yes,0.19,Morning,India,https://www.google.com/maps/search/?api=1&query=Manas%20National%20Park%2C%20Manas%2C%20Assam%2C%20India,Manas Airport,Manas Railway Station
Assam,Sivasagar,Sivasagar Sivadol,Temple,1734,1.0,4.7,0,No,,Historical,Yes,0.065,All,India,https://www.google.com/maps/search/?api=1&query=Sivasagar%20Sivadol%2C%20Sivasagar%2C%20Assam%2C%20India,Sivasagar Airport,Sivasagar Railway Station
Bihar,Bodh Gaya,Mahabodhi Temple,Temple,-260,1.5,4.7,0,Yes,,Religious,Yes,0.2,All,India,https://www.google.com/maps/search/?api=1&query=Mahabodhi%20Temple%2C%20Bodh%20Gaya%2C%20Bihar%2C%20India,Bodh Gaya Airport,Bodh Gaya Railway Station
Bihar,Patna,Sanjay Gandhi Biological Park,Zoo,Unknown,2.5,4.3,30,Yes,,Wildlife,Yes,0.5,All,India,https://www.google.com/maps/search/?api=1&query=Sanjay%20Gandhi%20Biological%20Park%2C%20Patna%2C%20Bihar%2C%20India,Jay Prakash Narayan Airport,Patna Junction
Bihar,Patna,Takhat Shri Harimandir Ji Patna Sahib,Gurudwara,Unknown,1.0,4.7,0,Yes,,Religious,Yes,0.25,All,India,https://www.google.com/maps/search/?api=1&query=Takhat%20Shri%20Harimandir%20Ji%20Patna%20Sahib%2C%20Patna%2C%20Bihar%2C%20India,Jay Prakash Narayan Airport,Patna Junction
Bihar,Patna,Budhha Smriti Park,Park,Unknown,1.0,4.4,10,Yes,,Cultural,Yes,0.31,All,India,https://www.google.com/maps/search/?api=1&query=Budhha%20Smriti%20Park%2C%20Patna%2C%20Bihar%2C%20India,Jay Prakash Narayan Airport,Patna Junction
Chhattisgarh,Bastar,Chitrakote Falls,Waterfall,Unknown,1.5,4.6,0,No,,Nature,Yes,0.19,Morning,India,https://www.google.com/maps/search/?api=1&query=Chitrakote%20Falls%2C%20Bastar%2C%20Chhattisgarh%2C%20India,Bastar Airport,Bastar Railway Station
Dadra and Nagar Haveli and Daman and Diu,Diu,Naida Caves,Cave,Unknown,1.0,4.5,0,No,,Nature,Yes,0.6,Afternoon,India,https://www.google.com/maps/search/?api=1&query=Naida%20Caves%2C%20Diu%2C%20Daman%20and%20Diu%2C%20India,Diu Airport,Veraval Railway Station
Dadra and Nagar Haveli and Daman and Diu,Diu,Diu Fort,Fort,1535,1.5,4.6,0,No,,Historical,Yes,1.2,Afternoon,India,https://www.google.com/maps/search/?api=1&query=Diu%20Fort%2C%20Diu%2C%20Daman%20and%20Diu%2C%20India,Diu Airport,Veraval Railway Station
Delhi,Delhi,India Gate,War Memorial,1921,0.5,4.6,0,Yes,,Historical,Yes,2.6,Evening,India,https://www.google.com/maps/search/?api=1&query=India%20Gate%2C%20Delhi%2C%20Delhi%2C%20India,Indira Gandhi International Airport,New Delhi Railway Station (NDLS)
Delhi,Delhi,Humayun's Tomb,Tomb,1572,2.0,4.5,30,Yes,,Historical,Yes,0.4,Afternoon,India,https://www.google.com/maps/search/?api=1&query=Humayun%27s%20Tomb%2C%20Delhi%2C%20Delhi%2C%20India,Indira Gandhi International Airport,New Delhi Railway Station (NDLS)
Delhi,Delhi,Akshardham Temple,Temple,2005,5.0,4.6,60,Yes,,Religious,No,0.4,Afternoon,India,https://www.google.com/maps/search/?api=1&query=Akshardham%20Temple%2C%20Delhi%2C%20Delhi%2C%20India,Indira Gandhi International Airport,New Delhi Railway Station (NDLS)
Delhi,Delhi,Waste to Wonder Park,Theme Park,2019,2.0,4.1,50,Yes,Monday,Environmental,Yes,0.27,Evening,India,https://www.google.com/maps/search/?api=1&query=Waste%20to%20Wonder%20Park%2C%20Delhi%2C%20Delhi%2C%20India,Indira Gandhi International Airport,New Delhi Railway Station (NDLS)
Delhi,Delhi,Jantar Mantar,Observatory,1724,2.0,4.2,15,Yes,,Scientific,Yes,0.31,Morning,India,https://www.google.com/maps/search/?api=1&query=Jantar%20Mantar%2C%20Delhi%2C%20Delhi%2C%20India,Indira Gandhi International Airport,New Delhi Railway Station (NDLS)
Delhi,Delhi,Chandni Chowk,Market,1700,3.0,4.2,0,Yes,Sunday,Market,Yes,0.25,Afternoon,India,https://www.google.com/maps/search/?api=1&query=Chandni%20Chowk%2C%20Delhi%2C%20Delhi%2C%20India,Indira Gandhi International Airport,New Delhi Railway Station (NDLS)
Delhi,Delhi,Lotus Temple,Temple,1986,1.0,4.5,0,Yes,Monday,Religious,Yes,0.59,Evening,India,https://www.google.com/maps/search/?api=1&query=Lotus%20Temple%2C%20Delhi%2C%20Delhi%2C%20India,Indira Gandhi International Airport,New Delhi Railway Station (NDLS)
Delhi,Delhi,Red Fort,Fort,1648,2.0,4.5,35,Yes,,Historical,Yes,1.5,Afternoon,India,https://www.google.com/maps/search/?api=1&query=Red%20Fort%2C%20Delhi%2C%20Delhi%2C%20India,Indira Gandhi International Airport,New Delhi Railway Station (NDLS)
Delhi,Delhi,Agrasen ki Baoli,Stepwell,1400,1.0,4.2,0,Yes,,Historical,Yes,0.41,Afternoon,India,https://www.google.com/maps/search/?api=1&query=Agrasen%20ki%20Baoli%2C%20Delhi%2C%20Delhi%2C%20India,Indira Gandhi International Airport,New Delhi Railway Station (NDLS)
Delhi,Delhi,Sunder Nursery,Park,1600,2.0,4.6,0,Yes,,Botanical,Yes,0.16,Afternoon,India,https://www.google.com/maps/search/?api=1&query=Sunder%20Nursery%2C%20Delhi%2C%20Delhi%2C%20India,Indira Gandhi International Airport,New Delhi Railway Station (NDLS)
Delhi,Delhi,Garden of Five Senses,Park,2003,2.0,4.1,35,Yes,,Botanical,Yes,0.23,Morning,India,https://www.google.com/maps/search/?api=1&query=Garden%20of%20Five%20Senses%2C%20Delhi%2C%20Delhi%2C%20India,Indira Gandhi International Airport,New Delhi Railway Station (NDLS)
Delhi,Delhi,Lodhi Garden,Park,1500,1.0,4.5,0,Yes,,Botanical,Yes,0.48,All,India,https://www.google.com/maps/search/?api=1&query=Lodhi%20Garden%2C%20Delhi%2C%20Delhi%2C%20India,Indira Gandhi International Airport,New Delhi Railway Station (NDLS)
Delhi,Delhi,National Gallery of Modern Art,Museum,1954,3.0,4.5,20,Yes,Monday,Artistic,Yes,0.08,All,India,https://www.google.com/maps/search/?api=1&query=National%20Gallery%20of%20Modern%20Art%2C%20Delhi%2C%20Delhi%2C%20India,Indira Gandhi International Airport,New Delhi Railway Station (NDLS)
Delhi,Delhi,National Zoological Park,Zoo,1959,3.0,4.1,80,Yes,Friday,Environmental,Yes,0.41,All,India,https://www.google.com/maps/search/?api=1&query=National%20Zoological%20Park%20%2C%20Delhi%2C%20Delhi%2C%20India,Indira Gandhi International Airport,New Delhi Railway Station (NDLS)
Delhi,Delhi,Qutub Minar,Monument,1192,1.0,4.5,35,Yes,,Historical,Yes,1.37,Afternoon,India,https://www.google.com/maps/search/?api=1&query=Qutub%20Minar%2C%20Delhi%2C%20Delhi%2C%20India,Indira Gandhi International Airport,New Delhi Railway Station (NDLS)
Delhi,Delhi,National Science Centre,Science,1992,5.0,4.4,70,Yes,,Scientific,Yes,0.23,All,India,https://www.google.com/maps/search/?api=1&query=National%20Science%20Centre%2C%20Delhi%2C%20Delhi%2C%20India,Indira Gandhi International Airport,New Delhi Railway Station (NDLS)
Delhi,Delhi,Humayun’s Tomb,Point of Interest,Unknown,2.0,0.0,0,Yes,,Tourist Attraction,Unknown,0.0,All,India,https://www.google.com/maps/search/?api=1&query=Humayun%E2%80%99s%20Tomb%2C%20Delhi%2C%20Delhi%2C%20India,Indira Gandhi International Airport,New Delhi Railway Station (NDLS)
Delhi,Delhi,Purana Qila,Point of Interest,Unknown,2.0,0.0,0,Yes,,Tourist Attraction,Unknown,0.0,All,India,https://www.google.com/maps/search/?api=1&query=Purana%20Qila%2C%20Delhi%2C%20Delhi%2C%20India,Indira Gandhi International Airport,New Delhi Railway Station (NDLS)
Delhi,Delhi,ISKCON Temple Delhi,Point of Interest,Unknown,2.0,0.0,0,Yes,,Tourist Attraction,Unknown,0.0,All,India,https://www.google.com/maps/search/?api=1&query=ISKCON%20Temple%20Delhi%2C%20Delhi%2C%20Delhi%2C%20India,Indira Gandhi International Airport,New Delhi Railway Station (NDLS)
Delhi,Delhi,Sanjay Van,Point of Interest,Unknown,2.0,0.0,0,Yes,,Tourist Attraction,Unknown,0.0,All,India,https://www.google.com/maps/search/?api=1&query=Sanjay%20Van%2C%20Delhi%2C%20Delhi%2C%20India,Indira Gandhi International Airport,New Delhi Railway Station (NDLS)
Delhi,Delhi,Connaught Place,Point of Interest,Unknown,2.0,0.0,0,Yes,,Tourist Attraction,Unknown,0.0,All,India,https://www.google.com/maps/search/?api=1&query=Connaught%20Place%2C%20Delhi%2C%20Delhi%2C%20India,Indira Gandhi International Airport,New Delhi Railway Station (NDLS)
Delhi,Delhi,Sarojini Nagar Market,Point of Interest,Unknown,2.0,0.0,0,Yes,,Tourist Attraction,Unknown,0.0,All,India,https://www.google.com/maps/search/?api=1&query=Sarojini%20Nagar%20Market%2C%20Delhi%2C%20Delhi%2C%20India,Indira Gandhi International Airport,New Delhi Railway Station (NDLS)
Delhi,Delhi,Dilli Haat,Point of Interest,Unknown,2.0,0.0,0,Yes,,Tourist Attraction,Unknown,0.0,All,India,https://www.google.com/maps/search/?api=1&query=Dilli%20Haat%2C%20Delhi%2C%20Delhi%2C%20India,Indira Gandhi International Airport,New Delhi Railway Station (NDLS)
Delhi,Delhi,National Museum Delhi,Point of Interest,Unknown,2.0,0.0,0,Yes,,Tourist Attraction,Unknown,0.0,All,India,https://www.google.com/maps/search/?api=1&query=National%20Museum%20Delhi%2C%20Delhi%2C%20Delhi%2C%20India,Indira Gandhi International Airport,New Delhi Railway Station (NDLS)
Delhi,Delhi,Rashtrapati Bhavan,Point of Interest,Unknown,2.0,0.0,0,Yes,,Tourist Attraction,Unknown,0.0,All,India,https://www.google.com/maps/search/?api=1&query=Rashtrapati%20Bhavan%2C%20Delhi%2C%20Delhi%2C%20India,Indira Gandhi International Airport,New Delhi Railway Station (NDLS)
Delhi,Delhi,National Rail Museum,Point of Interest,Unknown,2.0,0.0,0,Yes,,Tourist Attraction,Unknown,0.0,All,India,https://www.google.com/maps/search/?api=1&query=National%20Rail%20Museum%2C%20Delhi%2C%20Delhi%2C%20India,Indira Gandhi International Airport,New Delhi Railway Station (NDLS)
Delhi,Delhi,Lajpat Nagar Central Market,Point of Interest,Unknown,2.0,0.0,0,Yes,,Tourist Attraction,Unknown,0.0,All,India,https://www.google.com/maps/search/?api=1&query=Lajpat%20Nagar%20Central%20Market%2C%20Delhi%2C%20Delhi%2C%20India,Indira Gandhi International Airport,New Delhi Railway Station (NDLS)
Delhi,Delhi,Karol Bagh Market,Point of Interest,Unknown,2.0,0.0,0,Yes,,Tourist Attraction,Unknown,0.0,All,India,https://www.google.com/maps/search/?api=1&query=Karol%20Bagh%20Market%2C%20Delhi%2C%20Delhi%2C%20India,Indira Gandhi International Airport,New Delhi Railway Station (NDLS)
Delhi,Delhi,Janpath Market,Point of Interest,Unknown,2.0,0.0,0,Yes,,Tourist Attraction,Unknown,0.0,All,India,https://www.google.com/maps/search/?api=1&query=Janpath%20Market%2C%20Delhi%2C%20Delhi%2C%20India,Indira Gandhi International Airport,New Delhi Railway Station (NDLS)
Delhi,Delhi,Khan Market,Point of Interest,Unknown,2.0,0.0,0,Yes,,Tourist Attraction,Unknown,0.0,All,India,https://www.google.com/maps/search/?api=1&query=Khan%20Market%2C%20Delhi%2C%20Delhi%2C%20India,Indira Gandhi International Airport,New Delhi Railway Station (NDLS)
Delhi,Delhi,Palika Bazaar,Point of Interest,Unknown,2.0,0.0,0,Yes,,Tourist Attraction,Unknown,0.0,All,India,https://www.google.com/maps/search/?api=1&query=Palika%20Bazaar%2C%20Delhi%2C%20Delhi%2C%20India,Indira Gandhi International Airport,New Delhi Railway Station (NDLS)
Delhi,Delhi,Tilak Nagar Market,Point of Interest,Unknown,2.0,0.0,0,Yes,,Tourist Attraction,Unknown,0.0,All,India,https://www.google.com/maps/search/?api=1&query=Tilak%20Nagar%20Market%2C%20Delhi%2C%20Delhi%2C%20India,Indira Gandhi International Airport,New Delhi Railway Station (NDLS)
Delhi,Delhi,Shahpur Jat Market,Point of Interest,Unknown,2.0,0.0,0,Yes,,Tourist Attraction,Unknown,0.0,All,India,https://www.google.com/maps/search/?api=1&query=Shahpur%20Jat%20Market%2C%20Delhi%2C%20Delhi%2C%20India,Indira Gandhi International Airport,New Delhi Railway Station (NDLS)
Delhi,Delhi,Meena Bazaar,Point of Interest,Unknown,2.0,0.0,0,Yes,,Tourist Attraction,Unknown,0.0,All,India,https://www.google.com/maps/search/?api=1&query=Meena%20Bazaar%2C%20Delhi%2C%20Delhi%2C%20India,Indira Gandhi International Airport,New Delhi Railway Station (NDLS)
Delhi,Delhi,Rajouri Garden Market,Point of Interest,Unknown,2.0,0.0,0,Yes,,Tourist Attraction,Unknown,0.0,All,India,https://www.google.com/maps/search/?api=1&query=Rajouri%20Garden%20Market%2C%20Delhi%2C%20Delhi%2C%20India,Indira Gandhi International Airport,New Delhi Railway Station (NDLS)
Delhi,Delhi,INA Market,Point of Interest,Unknown,2.0,0.0,0,Yes,,Tourist Attraction,Unknown,0.0,All,India,https://www.google.com/maps/search/?api=1&query=INA%20Market%2C%20Delhi%2C%20Delhi%2C%20India,Indira Gandhi International Airport,New Delhi Railway Station (NDLS)
Delhi,Delhi,Kalka Ji Temple,Point of Interest,Unknown,2.0,0.0,0,Yes,,Tourist Attraction,Unknown,0.0,All,India,https://www.google.com/maps/search/?api=1&query=Kalka%20Ji%20Temple%2C%20Delhi%2C%20Delhi%2C%20India,Indira Gandhi International Airport,New Delhi Railway Station (NDLS)
Delhi,Delhi,Chhatarpur Temple,Point of Interest,Unknown,2.0,0.0,0,Yes,,Tourist Attraction,Unknown,0.0,All,India,https://www.google.com/maps/search/?api=1&query=Chhatarpur%20Temple%2C%20Delhi%2C%20Delhi%2C%20India,Indira Gandhi International Airport,New Delhi Railway Station (NDLS)
Delhi,Delhi,Birla Mandir (Laxminarayan Temple),Point of Interest,Unknown,2.0,0.0,0,Yes,,Tourist Attraction,Unknown,0.0,All,India,https://www.google.com/maps/search/?api=1&query=Birla%20Mandir%20%28Laxminarayan%20Temple%29%2C%20Delhi%2C%20Delhi%2C%20India,Indira Gandhi International Airport,New Delhi Railway Station (NDLS)
Delhi,Delhi,"Hanuman Mandir, Connaught Place",Point of Interest,Unknown,2.0,0.0,0,Yes,,Tourist Attraction,Unknown,0.0,All,India,https://www.google.com/maps/search/?api=1&query=Hanuman%20Mandir%2C%20Connaught%20Place%2C%20Delhi%2C%20Delhi%2C%20India,Indira Gandhi International Airport,New Delhi Railway Station (NDLS)
Delhi,Delhi,Nizamuddin Dargah,Point of Interest,Unknown,2.0,0.0,0,Yes,,Tourist Attraction,Unknown,0.0,All,India,https://www.google.com/maps/search/?api=1&query=Nizamuddin%20Dargah%2C%20Delhi%2C%20Delhi%2C%20India,Indira Gandhi International Airport,New Delhi Railway Station (NDLS)
Delhi,Delhi,Fatehpuri Masjid,Point of Interest,Unknown,2.0,0.0,0,Yes,,Tourist Attraction,Unknown,0.0,All,India,https://www.google.com/maps/search/?api=1&query=Fatehpuri%20Masjid%2C%20Delhi%2C%20Delhi%2C%20India,Indira Gandhi International Airport,New Delhi Railway Station (NDLS)
Delhi,Delhi,Gurudwara Sis Ganj Sahib,Point of Interest,Unknown,2.0,0.0,0,Yes,,Tourist Attraction,Unknown,0.0,All,India,https://www.google.com/maps/search/?api=1&query=Gurudwara%20Sis%20Ganj%20Sahib%2C%20Delhi%2C%20Delhi%2C%20India,Indira Gandhi International Airport,New Delhi Railway Station (NDLS)
Delhi,Delhi,Gurudwara Rakab Ganj Sahib,Point of Interest,Unknown,2.0,0.0,0,Yes,,Tourist Attraction,Unknown,0.0,All,India,https://www.google.com/maps/search/?api=1&query=Gurudwara%20Rakab%20Ganj%20Sahib%2C%20Delhi%2C%20Delhi%2C%20India,Indira Gandhi International Airport,New Delhi Railway Station (NDLS)
Delhi,Delhi,Sacred Heart Cathedral,Point of Interest,Unknown,2.0,0.0,0,Yes,,Tourist Attraction,Unknown,0.0,All,India,https://www.google.com/maps/search/?api=1&query=Sacred%20Heart%20Cathedral%2C%20Delhi%2C%20Delhi%2C%20India,Indira Gandhi International Airport,New Delhi Railway Station (NDLS)
Delhi,Delhi,St. James’ Church,Point of Interest,Unknown,2.0,0.0,0,Yes,,Tourist Attraction,Unknown,0.0,All,India,https://www.google.com/maps/search/?api=1&query=St.%20James%E2%80%99%20Church%2C%20Delhi%2C%20Delhi%2C%20India,Indira Gandhi International Airport,New Delhi Railway Station (NDLS)
Delhi,Delhi,National Museum Buddhist Gallery,Point of Interest,Unknown,2.0,0.0,0,Yes,,Tourist Attraction,Unknown,0.0,All,India,https://www.google.com/maps/search/?api=1&query=National%20Museum%20Buddhist%20Gallery%2C%20Delhi%2C%20Delhi%2C%20India,Indira Gandhi International Airport,New Delhi Railway Station (NDLS)
Delhi,Delhi,National Handicrafts and Handlooms Museum (Crafts Museum),Point of Interest,Unknown,2.0,0.0,0,Yes,,Tourist Attraction,Unknown,0.0,All,India,https://www.google.com/maps/search/?api=1&query=National%20Handicrafts%20and%20Handlooms%20Museum%20%28Crafts%20Museum%29%2C%20Delhi%2C%20Delhi%2C%20India,Indira Gandhi International Airport,New Delhi Railway Station (NDLS)
Delhi,Delhi,National Police Memorial Museum,Point of Interest,Unknown,2.0,0.0,0,Yes,,Tourist Attraction,Unknown,0.0,All,India,https://www.google.com/maps/search/?api=1&query=National%20Police%20Memorial%20Museum%2C%20Delhi%2C%20Delhi%2C%20India,Indira Gandhi International Airport,New Delhi Railway Station (NDLS)
Delhi,Delhi,Sulabh International Museum of Toilets,Point of Interest,Unknown,2.0,0.0,0,Yes,,Tourist Attraction,Unknown,0.0,All,India,https://www.google.com/maps/search/?api=1&query=Sulabh%20International%20Museum%20of%20Toilets%2C%20Delhi%2C%20Delhi%2C%20India,Indira Gandhi International Airport,New Delhi Railway Station (NDLS)
