State,City,Name,Type,Establishment Year,time needed to visit in hrs,Google review rating,Entrance Fee in INR,Airport with 50km Radius,Weekly Off,Significance,DSLR Allowed,Number of google review in lakhs,Best Time to visit,Country,Maps,Nearest Airport,Major Railway Station,Taxi Fare (Airport to City),Scooter Rental (Per Day),Must Try Food,Travel Tip,Time Slot,Area,Ideal For,Budget Level,Nightlife Spot,Day Priority,Is_Shopping,Is_Beach,Adventure_Available,Avg_Adventure_Base_Price,Famous Market,Famous Restaurant,Best Season,Food Specialty,Tourism Score (1-10),Latitude,Longitude,Popularity Index (0-100),Nightlife Hotspot,Heritage Category,Type_Encoded,Heritage_Encoded,Nightlife Score (0-10),Place_Image_URL,Nearby_Restaurants,Nearby_Hotels,Local_Transport_Options,Nearest_Metro_Station,Avg_Local_Transport_Cost,Climate_Type,Packing_Suggestions,Recommended_Duration_Min,Recommended_Duration_Max,Short_Description,User_Rating_Avg,User_Rating_Count,Peak_Hours,Crowd_Level,Best_Visit_Time,Place_Description_AI,Common_Questions,Name_Hindi,Description_Hindi,Name_Marathi,Trip_Preference_Tags,Itinerary_Role,City_Transport_Fares_JSON,Auto_Fare_Min,Auto_Fare_PerKm,Rapido_Bike_Min,Rapido_Bike_PerKm,Ola_Car_Base,Ola_Car_PerKm,Uber_Car_Base,Uber_Car_PerKm,Uber_Auto_Min,Uber_Auto_PerKm,City_Taxi_PerKm,Transport_Fare_Note,Surge_Pricing_Note,Nightlife_Party_Info_JSON,Venue_Type,Cover_Charge,Avg_Drinks_Price,Music_Genre,Club_Timings,Dress_Code,Ladies_Night_Info,Nightlife_Note
Delhi,Delhi,Gurudwara Rakab Ganj Sahib,Point of Interest,Unknown,2.0,0.0,0.0,Yes,Open All Days,Tourist Attraction,Unknown,0.0,All,India,https://www.google.com/maps/search/?api=1&query=Gurudwara%20Rakab%20Ganj%20Sahib%2C%20Delhi%2C%20Delhi%2C%20India,Indira Gandhi International Airport (IGI) / Hindon Airport,New Delhi Railway Station,"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Flexible,City Center,Family & Friends,Mid-Range,No,2.0,No,No,No,0.0,"Chandni Chowk, Sarojini Nagar, Khan Market",Indian Accent,October to March,Delhi Special Cuisine,8.0,28.7041,77.1025,0.0,Yes,Religious Heritage,29,1,1.0,https://source.unsplash.com/featured/?tourist-attraction,Popular restaurants in Delhi,Top hotels near Gurudwara Rakab Ganj Sahib in Delhi,"Taxi, Bus, Metro",Delhi Metro Station,300,Temperate,"Comfortable shoes, light jacket, water bottle",60,180,Gurudwara Rakab Ganj Sahib is a famous tourist attraction located in Delhi.,0.0,0,10 AM - 1 PM,5,October - March,"Gurudwara Rakab Ganj Sahib is known for its cultural importance, scenic surroundings, and unique travel experience for visitors.",What is the best time to visit Gurudwara Rakab Ganj Sahib?,Gurudwara Rakab Ganj Sahib,Gurudwara Rakab Ganj Sahib Delhi में स्थित एक प्रसिद्ध पर्यटन स्थल है।,Gurudwara Rakab Ganj Sahib,"Foodie, History",Any Time,"{""Auto_Min"": ""\u20b925"", ""Auto_PerKm"": ""\u20b99.5"", ""Rapido_Bike_Min"": ""\u20b920"", ""Rapido_Bike_PerKm"": ""\u20b97"", ""Ola_Car_Base"": ""\u20b940"", ""Ola_Car_PerKm"": ""\u20b920"", ""Uber_Car_Base"": ""\u20b940"", ""Uber_Car_PerKm"": ""\u20b921"", ""Uber_Auto_Min"": ""\u20b925"", ""Uber_Auto_PerKm"": ""\u20b99.5"", ""City_Taxi_PerKm"": ""\u20b920-21/km"", ""Note"": ""Government regulated 2025 rates""}",₹25,₹9.5,₹20,₹7,₹40,₹20,₹40,₹21,₹25,₹9.5,₹20-21/km,Government regulated 2025 rates,"Peak hours (8-10AM, 5-9PM): up to 2x base. Off-peak: 50% minimum applies. Source: MoRTH 2025 guidelines",,,,,,,,,
Ladakh,Leh,Thiksey Monastery,Monastery,1430,1.5,4.7,20.0,Yes,Open All Days,Religious,No,0.05,All,India,https://www.google.com/maps/search/?api=1&query=Thiksey%20Monastery%2C%20Leh%2C%20Ladakh%2C%20India,Kushok Bakula Rimpochee Airport,Leh Railway (Planned),"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Flexible,City Center,Family & Friends,Mid-Range,No,2.0,No,No,No,0.0,Leh Market,Tibetan Kitchen,October to March,Leh Special Cuisine,8.0,34.0559137,77.6677625,75.0,No,Non-Religious,14,0,5.4,https://source.unsplash.com/featured/?tourist-attraction,Popular restaurants in Leh,Top hotels near Thiksey Monastery in Leh,"Taxi, Bus, Metro",Leh Metro Station,300,Semi-Arid,"Sunglasses, cap, sunscreen, portable charger",60,180,Thiksey Monastery is a famous tourist attraction located in Leh.,4.7,0,5 PM - 9 PM,5,September - February,"Thiksey Monastery is known for its cultural importance, scenic surroundings, and unique travel experience for visitors.",What is the best time to visit Thiksey Monastery?,Thiksey Monastery,Thiksey Monastery Leh में स्थित एक प्रसिद्ध पर्यटन स्थल है।,Thiksey Monastery,"Foodie, History, Popular",Any Time,"{""Auto_Min"": ""₹20-30"", ""Auto_PerKm"": ""₹10-15"", ""Rapido_Bike_Min"": ""₹20"", ""Rapido_Bike_PerKm"": ""₹7"", ""Ola_Car_Base"": ""NA"", ""Ola_Car_PerKm"": ""NA"", ""Uber_Car_Base"": ""NA"", ""Uber_Car_PerKm"": ""NA"", ""Uber_Auto_Min"": ""NA"", ""Uber_Auto_PerKm"": ""NA"", ""City_Taxi_PerKm"": ""₹14-18/km"", ""Note"": ""Estimated 2025 Indian rates""}",₹20-30,₹10-15,₹20,₹7,,,,,,,₹14-18/km,Estimated 2025 Indian rates; Ola/Uber not available in this city,"Peak hours (8-10AM, 5-9PM): up to 2x base. Off-peak: 50% minimum applies. Source: MoRTH 2025 guidelines",,,,,,,,,
Ladakh,Nubra Valley,Samstanling Monastery,Temple,Unknown,1.0,4.7,0.0,Yes,Open All Days,Religious,No,0.205,May to September,India,Information not available,Kushok Bakula Rimpochee Airport,Leh Railway (Planned),"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Morning,City Center,Family & Friends,High,No,2.0,No,No,No,0.0,"Crawford Market, Colaba Causeway, Linking Road",Ahdoos,October to March,Mumbai Special Cuisine,9.7,34.6316542,77.62530679999999,95.0,No,Religious Heritage,3,1,5.4,https://source.unsplash.com/featured/?tourist-attraction,Popular restaurants in Nubra Valley,Top hotels near Samstanling Monastery in Nubra Valley,"Taxi, Bus, Metro",Nubra Valley Metro Station,300,Temperate,"Sunglasses, cap, sunscreen, portable charger",60,180,Samstanling Monastery is a famous tourist attraction located in Nubra Valley.,4.7,0,5 PM - 9 PM,5,November - February,"Samstanling Monastery is known for its cultural importance, scenic surroundings, and unique travel experience for visitors.",What is the best time to visit Samstanling Monastery?,Samstanling Monastery,Samstanling Monastery Nubra Valley में स्थित एक प्रसिद्ध पर्यटन स्थल है।,Samstanling Monastery,"Foodie, History, Popular",Morning,"{""Auto_Min"": ""₹20-30"", ""Auto_PerKm"": ""₹10-15"", ""Rapido_Bike_Min"": ""₹20"", ""Rapido_Bike_PerKm"": ""₹7"", ""Ola_Car_Base"": ""NA"", ""Ola_Car_PerKm"": ""NA"", ""Uber_Car_Base"": ""NA"", ""Uber_Car_PerKm"": ""NA"", ""Uber_Auto_Min"": ""NA"", ""Uber_Auto_PerKm"": ""NA"", ""City_Taxi_PerKm"": ""₹14-18/km"", ""Note"": ""Estimated 2025 Indian rates""}",₹20-30,₹10-15,₹20,₹7,,,,,,,₹14-18/km,Estimated 2025 Indian rates; Ola/Uber not available in this city,"Peak hours (8-10AM, 5-9PM): up to 2x base. Off-peak: 50% minimum applies. Source: MoRTH 2025 guidelines",,,,,,,,,
Punjab,Patiala,Sheesh Mahal Patiala,Palace,Unknown,1.5,4.4,120.0,Yes,Open All Days,Historical,Yes,0.12,October to March,India,Information not available,Chandigarh International Airport,Patiala Railway Station,"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Morning,City Center,Family & Friends,Medium,No,2.0,No,No,No,0.0,"Johari Bazaar, Bapu Bazaar, Tripolia Bazaar",Ambrai,October to March,Jaipur Special Cuisine,8.8,30.3065154,76.396148,84.0,No,Non-Religious,36,0,4.8,https://source.unsplash.com/featured/?tourist-attraction,Popular restaurants in Patiala,Top hotels near Sheesh Mahal Patiala in Patiala,"Taxi, Bus, Metro",Patiala Metro Station,300,Tropical,"Comfortable walking shoes, sunscreen, water bottle, sunglasses",60,180,Sheesh Mahal Patiala is a famous tourist attraction located in Patiala.,4.4,0,11 AM - 4 PM,5,September - February,"Sheesh Mahal Patiala is known for its cultural importance, scenic surroundings, and unique travel experience for visitors.",What is the best time to visit Sheesh Mahal Patiala?,Sheesh Mahal Patiala,Sheesh Mahal Patiala Patiala में स्थित एक प्रसिद्ध पर्यटन स्थल है।,Sheesh Mahal Patiala,"Foodie, History, Popular",Morning,"{""Auto_Min"": ""\u20b920"", ""Auto_PerKm"": ""\u20b910"", ""Rapido_Bike_Min"": ""\u20b915"", ""Rapido_Bike_PerKm"": ""\u20b96"", ""Ola_Car_Base"": ""\u20b930"", ""Ola_Car_PerKm"": ""\u20b913"", ""Uber_Car_Base"": ""\u20b930"", ""Uber_Car_PerKm"": ""\u20b913"", ""Uber_Auto_Min"": ""\u20b920"", ""Uber_Auto_PerKm"": ""\u20b910"", ""City_Taxi_PerKm"": ""\u20b912-16/km"", ""Note"": ""2025 Punjab rates""}",₹20,₹10,₹15,₹6,₹30,₹13,₹30,₹13,₹20,₹10,₹12-16/km,2025 Punjab rates,"Peak hours (8-10AM, 5-9PM): up to 2x base. Off-peak: 50% minimum applies. Source: MoRTH 2025 guidelines",,,,,,,,,
Himachal Pradesh,Dalhousie,Khajjiar,Scenic Viewpoint,Ancient,2.0,4.5,0.0,Unknown,Unknown,Unknown,Unknown,0.095,March to June & October,India,Information not available,Kangra Airport,Pathankot Junction,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Medium,Unknown,2.0,Unknown,Unknown,Unknown,0.0,Unknown,Unknown,Unknown,Unknown,9.2,32.5532801,76.0615409,88.0,Unknown,Unknown,103,2,5.2,https://source.unsplash.com/featured/?tourist-attraction,Popular restaurants in Dalhousie,Top hotels near Khajjiar in Dalhousie,"Taxi, Bus, Metro",Dalhousie Metro Station,300,Semi-Arid,"Light cotton clothes, hat, sunscreen, camera",60,180,Khajjiar is a famous tourist attraction located in Dalhousie.,4.5,0,11 AM - 4 PM,5,October - March,"Khajjiar is known for its cultural importance, scenic surroundings, and unique travel experience for visitors.",What is the best time to visit Khajjiar?,Khajjiar,Khajjiar Dalhousie में स्थित एक प्रसिद्ध पर्यटन स्थल है।,Khajjiar,"Nature, Popular",Any Time,"{""Auto_Min"": ""N/A"", ""Auto_PerKm"": ""N/A"", ""Rapido_Bike_Min"": ""\u20b920"", ""Rapido_Bike_PerKm"": ""\u20b98"", ""Ola_Car_Base"": ""\u20b940"", ""Ola_Car_PerKm"": ""\u20b918"", ""Uber_Car_Base"": ""\u20b940"", ""Uber_Car_PerKm"": ""\u20b918"", ""Uber_Auto_Min"": ""N/A"", ""Uber_Auto_PerKm"": ""N/A"", ""City_Taxi_PerKm"": ""\u20b918-25/km (hill stations premium)"", ""Note"": ""Hill station rates \u2014 no regular auto service""}",,,₹20,₹8,₹40,₹18,₹40,₹18,,,₹18-25/km (hill stations premium),Hill station rates — no regular auto service,"Peak hours (8-10AM, 5-9PM): up to 2x base. Off-peak: 50% minimum applies. Source: MoRTH 2025 guidelines",,,,,,,,,
Karnataka,Gokarna,Om Beach,Beach,Ancient,2.0,4.5,0.0,No,Open All Days,Nature,Yes,0.09,All,India,https://www.google.com/maps/search/?api=1&query=Om%20Beach%2C%20Gokarna%2C%20Karnataka%2C%20India,Dabolim Airport,Gokarna Road Railway Station,"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Afternoon,City Center,Family & Friends,Mid-Range,No,2.0,No,Yes,Yes,1000.0,Car Street,Namaste Cafe,October to March,Gokarna Special Cuisine,8.0,14.5192405,74.3230039,72.0,No,Non-Religious,1,0,5.0,https://source.unsplash.com/featured/?tourist-attraction,Popular restaurants in Gokarna,Top hotels near Om Beach in Gokarna,"Taxi, Bus, Metro",Gokarna Metro Station,300,Temperate,"Light cotton clothes, hat, sunscreen, camera",60,180,Om Beach is a famous tourist attraction located in Gokarna.,4.5,0,10 AM - 1 PM,5,November - February,"Om Beach is known for its cultural importance, scenic surroundings, and unique travel experience for visitors.",What is the best time to visit Om Beach?,Om Beach,Om Beach Gokarna में स्थित एक प्रसिद्ध पर्यटन स्थल है।,Om Beach,"Adventure, Beach, Foodie, History, Nature, Popular",Afternoon,"{""Auto_Min"": ""\u20b930"", ""Auto_PerKm"": ""\u20b915"", ""Rapido_Bike_Min"": ""\u20b920"", ""Rapido_Bike_PerKm"": ""\u20b96"", ""Ola_Car_Base"": ""\u20b935"", ""Ola_Car_PerKm"": ""\u20b915"", ""Uber_Car_Base"": ""\u20b935"", ""Uber_Car_PerKm"": ""\u20b916"", ""Uber_Auto_Min"": ""\u20b930"", ""Uber_Auto_PerKm"": ""\u20b910"", ""City_Taxi_PerKm"": ""\u20b914-18/km"", ""Note"": ""2025 Karnataka rates""}",₹30,₹15,₹20,₹6,₹35,₹15,₹35,₹16,₹30,₹10,₹14-18/km,2025 Karnataka rates,"Peak hours (8-10AM, 5-9PM): up to 2x base. Off-peak: 50% minimum applies. Source: MoRTH 2025 guidelines",,,,,,,,,
Ladakh,Kargil (Ladakh),Mulbekh Monastery,Temple,Unknown,1.0,4.7,0.0,Yes,Open All Days,Religious,No,0.205,May to September,India,Information not available,Kushok Bakula Rimpochee Airport,Leh Railway (Planned),"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Morning,City Center,Family & Friends,High,No,2.0,No,No,No,0.0,"Crawford Market, Colaba Causeway, Linking Road",Ahdoos,October to March,Mumbai Special Cuisine,9.7,34.3785169,76.3666533,95.0,No,Religious Heritage,3,1,5.4,https://source.unsplash.com/featured/?tourist-attraction,Popular restaurants in Kargil (Ladakh),Top hotels near Mulbekh Monastery in Kargil (Ladakh),"Taxi, Bus, Metro",Kargil (Ladakh) Metro Station,300,Tropical,"Sunglasses, cap, sunscreen, portable charger",60,180,Mulbekh Monastery is a famous tourist attraction located in Kargil (Ladakh).,4.7,0,5 PM - 9 PM,5,October - March,"Mulbekh Monastery is known for its cultural importance, scenic surroundings, and unique travel experience for visitors.",What is the best time to visit Mulbekh Monastery?,Mulbekh Monastery,Mulbekh Monastery Kargil (Ladakh) में स्थित एक प्रसिद्ध पर्यटन स्थल है।,Mulbekh Monastery,"Foodie, History, Popular",Morning,"{""Auto_Min"": ""\u20b920-30"", ""Auto_PerKm"": ""\u20b910-15"", ""Rapido_Bike_Min"": ""\u20b920"", ""Rapido_Bike_PerKm"": ""\u20b97"", ""Ola_Car_Base"": ""\u20b935"", ""Ola_Car_PerKm"": ""\u20b914"", ""Uber_Car_Base"": ""\u20b935"", ""Uber_Car_PerKm"": ""\u20b914"", ""Uber_Auto_Min"": ""\u20b920"", ""Uber_Auto_PerKm"": ""\u20b910"", ""City_Taxi_PerKm"": ""\u20b914-18/km"", ""Note"": ""Estimated 2025 Indian rates""}",₹20-30,₹10-15,₹20,₹7,₹35,₹14,₹35,₹14,₹20,₹10,₹14-18/km,Estimated 2025 Indian rates,"Peak hours (8-10AM, 5-9PM): up to 2x base. Off-peak: 50% minimum applies. Source: MoRTH 2025 guidelines",,,,,,,,,
Karnataka,Nandi Hills,Tipu's Drop,Landmark,18th Century,2.0,4.4,10.0,Yes,Open All Days,Historic cliff point with stunning sunrise views,Yes,0.3,Morning,India,http://googleusercontent.com/maps.google.com/ka20,Unknown,Unknown,"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Flexible,City Center,Family & Friends,Mid-Range,No,2.0,No,No,No,0.0,Nandi Hills Main Market,Nandi Hills Famous Restaurant,October to March,Nandi Hills Special Cuisine,8.0,13.371891,77.68058309999999,70.0,No,Non-Religious,2,0,4.8,https://source.unsplash.com/featured/?tourist-attraction,Popular restaurants in Nandi Hills,Top hotels near Tipu's Drop in Nandi Hills,"Taxi, Bus, Metro",Nandi Hills Metro Station,300,Humid Subtropical,"Light cotton clothes, hat, sunscreen, camera",60,180,Tipu's Drop is a famous tourist attraction located in Nandi Hills.,4.4,0,11 AM - 4 PM,5,November - February,"Tipu's Drop is known for its cultural importance, scenic surroundings, and unique travel experience for visitors.",What is the best time to visit Tipu's Drop?,Tipu's Drop,Tipu's Drop Nandi Hills में स्थित एक प्रसिद्ध पर्यटन स्थल है।,Tipu's Drop,"Foodie, History, Popular",Any Time,"{""Auto_Min"": ""\u20b930"", ""Auto_PerKm"": ""\u20b915"", ""Rapido_Bike_Min"": ""\u20b920"", ""Rapido_Bike_PerKm"": ""\u20b96"", ""Ola_Car_Base"": ""\u20b935"", ""Ola_Car_PerKm"": ""\u20b915"", ""Uber_Car_Base"": ""\u20b935"", ""Uber_Car_PerKm"": ""\u20b916"", ""Uber_Auto_Min"": ""\u20b930"", ""Uber_Auto_PerKm"": ""\u20b910"", ""City_Taxi_PerKm"": ""\u20b914-18/km"", ""Note"": ""2025 Karnataka rates""}",₹30,₹15,₹20,₹6,₹35,₹15,₹35,₹16,₹30,₹10,₹14-18/km,2025 Karnataka rates,"Peak hours (8-10AM, 5-9PM): up to 2x base. Off-peak: 50% minimum applies. Source: MoRTH 2025 guidelines",,,,,,,,,
Tripura,Amarpur,Chabimura,Historical Site,15th Century,2.5,4.7,0.0,No,Open All Days,"Rock carvings on the banks of Gomati River, called the Amazon of Tripura",Yes,0.02,Morning,India,http://googleusercontent.com/maps.google.com/tr5,Unknown,Unknown,"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Flexible,City Center,Family & Friends,Mid-Range,No,2.0,No,No,No,0.0,Amarpur Main Market,Amarpur Famous Restaurant,October to March,Amarpur Special Cuisine,8.0,23.5529117,91.6137038,75.0,No,Non-Religious,81,0,5.4,https://source.unsplash.com/featured/?tourist-attraction,Popular restaurants in Amarpur,Top hotels near Chabimura in Amarpur,"Taxi, Bus, Metro",Amarpur Metro Station,300,Humid Subtropical,"Sunglasses, cap, sunscreen, portable charger",60,180,Chabimura is a famous tourist attraction located in Amarpur.,4.7,0,10 AM - 1 PM,5,September - February,"Chabimura is known for its cultural importance, scenic surroundings, and unique travel experience for visitors.",What is the best time to visit Chabimura?,Chabimura,Chabimura Amarpur में स्थित एक प्रसिद्ध पर्यटन स्थल है।,Chabimura,"Foodie, History, Popular",Any Time,"{""Auto_Min"": ""\u20b920-30"", ""Auto_PerKm"": ""\u20b910-15"", ""Rapido_Bike_Min"": ""\u20b920"", ""Rapido_Bike_PerKm"": ""\u20b97"", ""Ola_Car_Base"": ""\u20b935"", ""Ola_Car_PerKm"": ""\u20b914"", ""Uber_Car_Base"": ""\u20b935"", ""Uber_Car_PerKm"": ""\u20b914"", ""Uber_Auto_Min"": ""\u20b920"", ""Uber_Auto_PerKm"": ""\u20b910"", ""City_Taxi_PerKm"": ""\u20b914-18/km"", ""Note"": ""Estimated 2025 Indian rates""}",₹20-30,₹10-15,₹20,₹7,₹35,₹14,₹35,₹14,₹20,₹10,₹14-18/km,Estimated 2025 Indian rates,"Peak hours (8-10AM, 5-9PM): up to 2x base. Off-peak: 50% minimum applies. Source: MoRTH 2025 guidelines",,,,,,,,,
Delhi,Delhi,Sulabh International Museum of Toilets,Point of Interest,Unknown,2.0,0.0,0.0,Yes,Open All Days,Tourist Attraction,Unknown,0.0,All,India,https://www.google.com/maps/search/?api=1&query=Sulabh%20International%20Museum%20of%20Toilets%2C%20Delhi%2C%20Delhi%2C%20India,Indira Gandhi International Airport (IGI) / Hindon Airport,New Delhi Railway Station,"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Flexible,City Center,Family & Friends,Mid-Range,No,2.0,No,No,No,0.0,"Chandni Chowk, Sarojini Nagar, Khan Market",Karim's,October to March,Delhi Special Cuisine,8.0,28.7041,77.1025,0.0,Yes,Non-Religious,29,0,1.0,https://source.unsplash.com/featured/?tourist-attraction,Popular restaurants in Delhi,Top hotels near Sulabh International Museum of Toilets in Delhi,"Taxi, Bus, Metro",Delhi Metro Station,300,Semi-Arid,"Comfortable walking shoes, sunscreen, water bottle, sunglasses",60,180,Sulabh International Museum of Toilets is a famous tourist attraction located in Delhi.,0.0,0,10 AM - 1 PM,5,September - February,"Sulabh International Museum of Toilets is known for its cultural importance, scenic surroundings, and unique travel experience for visitors.",What is the best time to visit Sulabh International Museum of Toilets?,Sulabh International Museum of Toilets,Sulabh International Museum of Toilets Delhi में स्थित एक प्रसिद्ध पर्यटन स्थल है।,Sulabh International Museum of Toilets,"Foodie, History",Any Time,"{""Auto_Min"": ""\u20b925"", ""Auto_PerKm"": ""\u20b99.5"", ""Rapido_Bike_Min"": ""\u20b920"", ""Rapido_Bike_PerKm"": ""\u20b97"", ""Ola_Car_Base"": ""\u20b940"", ""Ola_Car_PerKm"": ""\u20b920"", ""Uber_Car_Base"": ""\u20b940"", ""Uber_Car_PerKm"": ""\u20b921"", ""Uber_Auto_Min"": ""\u20b925"", ""Uber_Auto_PerKm"": ""\u20b99.5"", ""City_Taxi_PerKm"": ""\u20b920-21/km"", ""Note"": ""Government regulated 2025 rates""}",₹25,₹9.5,₹20,₹7,₹40,₹20,₹40,₹21,₹25,₹9.5,₹20-21/km,Government regulated 2025 rates,"Peak hours (8-10AM, 5-9PM): up to 2x base. Off-peak: 50% minimum applies. Source: MoRTH 2025 guidelines",,,,,,,,,
Manipur,Imphal,Kangla Fort,Fort,Unknown,2.0,4.5,50.0,Yes,Open All Days,Historical,Yes,0.15,October to April,India,Information not available,Imphal International Airport,Dimapur Railway Station,"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Morning,City Center,Family & Friends,Medium,No,2.0,No,No,No,0.0,"Johari Bazaar, Bapu Bazaar, Tripolia Bazaar",Chokhi Dhani,October to March,Jaipur Special Cuisine,9.0,24.8074625,93.9427969,86.0,No,Non-Religious,6,0,5.0,https://source.unsplash.com/featured/?tourist-attraction,Popular restaurants in Imphal,Top hotels near Kangla Fort in Imphal,"Taxi, Bus, Metro",Imphal Metro Station,300,Semi-Arid,"Light cotton clothes, hat, sunscreen, camera",60,180,Kangla Fort is a famous tourist attraction located in Imphal.,4.5,0,11 AM - 4 PM,5,October - March,"Kangla Fort is known for its cultural importance, scenic surroundings, and unique travel experience for visitors.",What is the best time to visit Kangla Fort?,Kangla Fort,Kangla Fort Imphal में स्थित एक प्रसिद्ध पर्यटन स्थल है।,Kangla Fort,"Foodie, History, Popular",Morning,"{""Auto_Min"": ""\u20b920-30"", ""Auto_PerKm"": ""\u20b910-15"", ""Rapido_Bike_Min"": ""\u20b920"", ""Rapido_Bike_PerKm"": ""\u20b97"", ""Ola_Car_Base"": ""\u20b935"", ""Ola_Car_PerKm"": ""\u20b914"", ""Uber_Car_Base"": ""\u20b935"", ""Uber_Car_PerKm"": ""\u20b914"", ""Uber_Auto_Min"": ""\u20b920"", ""Uber_Auto_PerKm"": ""\u20b910"", ""City_Taxi_PerKm"": ""\u20b914-18/km"", ""Note"": ""Estimated 2025 Indian rates""}",₹20-30,₹10-15,₹20,₹7,₹35,₹14,₹35,₹14,₹20,₹10,₹14-18/km,Estimated 2025 Indian rates,"Peak hours (8-10AM, 5-9PM): up to 2x base. Off-peak: 50% minimum applies. Source: MoRTH 2025 guidelines",,,,,,,,,
West Bengal,Purulia,Joychandi Pahar,Hilltop,Ancient,2.0,4.5,0.0,Unknown,Unknown,Unknown,Unknown,0.095,October to March,India,Information not available,Netaji Subhas Chandra Bose International Airport,Purulia Junction,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Medium,Unknown,2.0,Unknown,Unknown,Unknown,0.0,Unknown,Unknown,Unknown,Unknown,8.7,23.5246129,86.66602569999999,83.0,Unknown,Unknown,100,2,5.2,https://source.unsplash.com/featured/?tourist-attraction,Popular restaurants in Purulia,Top hotels near Joychandi Pahar in Purulia,"Taxi, Bus, Metro",Purulia Metro Station,300,Semi-Arid,"Light cotton clothes, hat, sunscreen, camera",60,180,Joychandi Pahar is a famous tourist attraction located in Purulia.,4.5,0,10 AM - 1 PM,5,October - March,"Joychandi Pahar is known for its cultural importance, scenic surroundings, and unique travel experience for visitors.",What is the best time to visit Joychandi Pahar?,Joychandi Pahar,Joychandi Pahar Purulia में स्थित एक प्रसिद्ध पर्यटन स्थल है।,Joychandi Pahar,"Nature, Popular",Any Time,"{""Auto_Min"": ""\u20b925"", ""Auto_PerKm"": ""\u20b912"", ""Rapido_Bike_Min"": ""\u20b920"", ""Rapido_Bike_PerKm"": ""\u20b96"", ""Ola_Car_Base"": ""\u20b935"", ""Ola_Car_PerKm"": ""\u20b913"", ""Uber_Car_Base"": ""\u20b935"", ""Uber_Car_PerKm"": ""\u20b914"", ""Uber_Auto_Min"": ""\u20b925"", ""Uber_Auto_PerKm"": ""\u20b912"", ""City_Taxi_PerKm"": ""\u20b913-16/km"", ""Note"": ""2025 West Bengal rates""}",₹25,₹12,₹20,₹6,₹35,₹13,₹35,₹14,₹25,₹12,₹13-16/km,2025 West Bengal rates,"Peak hours (8-10AM, 5-9PM): up to 2x base. Off-peak: 50% minimum applies. Source: MoRTH 2025 guidelines",,,,,,,,,
Jharkhand,Deoghar,Baba Baidyanath Temple,Temple,Unknown,1.0,4.7,0.0,Yes,Open All Days,Religious,Yes,1.8,All,India,https://www.google.com/maps/search/?api=1&query=Baba%20Baidyanath%20Temple%2C%20Deoghar%2C%20Jharkhand%2C%20India,Unknown,Unknown,"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Morning,City Center,Family & Friends,Mid-Range,No,2.0,No,No,No,0.0,Deoghar Main Market,Deoghar Famous Restaurant,October to March,Deoghar Special Cuisine,8.0,24.4925604,86.69995929999999,75.0,No,Religious Heritage,3,1,5.4,https://source.unsplash.com/featured/?tourist-attraction,Popular restaurants in Deoghar,Top hotels near Baba Baidyanath Temple in Deoghar,"Taxi, Bus, Metro",Deoghar Metro Station,300,Temperate,"Light cotton clothes, hat, sunscreen, camera",60,180,Baba Baidyanath Temple is a famous tourist attraction located in Deoghar.,4.7,0,11 AM - 4 PM,5,November - February,"Baba Baidyanath Temple is known for its cultural importance, scenic surroundings, and unique travel experience for visitors.",What is the best time to visit Baba Baidyanath Temple?,Baba Baidyanath Temple,Baba Baidyanath Temple Deoghar में स्थित एक प्रसिद्ध पर्यटन स्थल है।,Baba Baidyanath Temple,"Foodie, History, Popular",Morning,"{""Auto_Min"": ""\u20b920-30"", ""Auto_PerKm"": ""\u20b910-15"", ""Rapido_Bike_Min"": ""\u20b920"", ""Rapido_Bike_PerKm"": ""\u20b97"", ""Ola_Car_Base"": ""\u20b935"", ""Ola_Car_PerKm"": ""\u20b914"", ""Uber_Car_Base"": ""\u20b935"", ""Uber_Car_PerKm"": ""\u20b914"", ""Uber_Auto_Min"": ""\u20b920"", ""Uber_Auto_PerKm"": ""\u20b910"", ""City_Taxi_PerKm"": ""\u20b914-18/km"", ""Note"": ""Estimated 2025 Indian rates""}",₹20-30,₹10-15,₹20,₹7,₹35,₹14,₹35,₹14,₹20,₹10,₹14-18/km,Estimated 2025 Indian rates,"Peak hours (8-10AM, 5-9PM): up to 2x base. Off-peak: 50% minimum applies. Source: MoRTH 2025 guidelines",,,,,,,,,
