State,City,Name,Type,Establishment Year,time needed to visit in hrs,Google review rating,Entrance Fee in INR,Airport with 50km Radius,Weekly Off,Significance,DSLR Allowed,Number of google review in lakhs,Best Time to visit,Country,Maps,Nearest Airport,Major Railway Station,Taxi Fare (Airport to City),Scooter Rental (Per Day),Must Try Food,Travel Tip,Time Slot,Area,Ideal For,Budget Level,Nightlife Spot,Day Priority,Is_Shopping,Is_Beach,Adventure_Available,Avg_Adventure_Base_Price,Famous Market,Famous Restaurant,Best Season,Food Specialty,Tourism Score (1-10),Latitude,Longitude,Popularity Index (0-100),Nightlife Hotspot,Heritage Category,Type_Encoded,Heritage_Encoded,Nightlife Score (0-10),Place_Image_URL,Nearby_Restaurants,Nearby_Hotels,Local_Transport_Options,Nearest_Metro_Station,Avg_Local_Transport_Cost,Climate_Type,Packing_Suggestions,Recommended_Duration_Min,Recommended_Duration_Max,Short_Description,User_Rating_Avg,User_Rating_Count,Peak_Hours,Crowd_Level,Best_Visit_Time,Place_Description_AI,Common_Questions,Name_Hindi,Description_Hindi,Name_Marathi
Andhra Pradesh,Rajahmundry,Papikondalu,Hill,Unknown,2.0,4.3,0.0,Yes,Open All Days,Nature,Yes,0.032,All,India,https://www.google.com/maps/search/?api=1&query=Papikondalu%2C%20Rajahmundry%2C%20Andhra%20Pradesh%2C%20India,Rajahmundry Airport,Rajahmundry Railway Station,"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Evening,City Center,Family & Friends,Mid-Range,No,2.0,No,No,No,0.0,Rajahmundry Main Market,Rajahmundry Famous Restaurant,October to March,Rajahmundry Special Cuisine,8.0,0.0,0.0,69.0,No,Non-Religious,9,0,4.6,,,,"Taxi, Bus, Metro",,300,,,60,180,,4.3,0,,5,,,,,,
Andhra Pradesh,Srisailam,Mallikarjuna Swamy Temple,Temple,14th century,1.0,4.7,0.0,No,Open All Days,Religious,No,0.49,All,India,https://www.google.com/maps/search/?api=1&query=Mallikarjuna%20Swamy%20Temple%2C%20Srisailam%2C%20Andhra%20Pradesh%2C%20India,Rajiv Gandhi International Airport,Markapur Road Railway Station,"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Morning,City Center,Family & Friends,Mid-Range,No,2.0,No,No,No,0.0,Srisailam Main Market,Srisailam Famous Restaurant,October to March,Srisailam Special Cuisine,8.0,0.0,0.0,75.0,No,Religious Heritage,3,1,5.4,,,,"Taxi, Bus, Metro",,300,,,60,180,,4.7,0,,5,,,,,,
Andhra Pradesh,Vijayawada,Kanaka Durga Temple,Temple,Unknown,1.0,4.7,0.0,Yes,Open All Days,Religious,No,0.44,All,India,https://www.google.com/maps/search/?api=1&query=Kanaka%20Durga%20Temple%2C%20Vijayawada%2C%20Andhra%20Pradesh%2C%20India,Vijayawada International Airport,Vijayawada Junction,"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Morning,City Center,Family & Friends,Mid-Range,No,2.0,No,No,No,0.0,Vijayawada Main Market,Vijayawada Famous Restaurant,October to March,Vijayawada Special Cuisine,8.0,0.0,0.0,75.0,No,Religious Heritage,3,1,5.4,,,,"Taxi, Bus, Metro",,300,,,60,180,,4.7,0,,5,,,,,,
Andhra Pradesh,Visakhapatnam,Rishikonda Beach,Beach,Ancient,1.5,4.5,0.0,Yes,Open All Days,Recreational,Yes,0.39,Morning,India,https://www.google.com/maps/search/?api=1&query=Rishikonda%20Beach%2C%20Visakhapatnam%2C%20Andhra%20Pradesh%2C%20India,Visakhapatnam Airport,Visakhapatnam Railway Station,"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Afternoon,City Center,Family & Friends,Mid-Range,No,2.0,No,Yes,Yes,1000.0,Jagadamba Centre,Venkateswara Swamy Hotel,October to March,Visakhapatnam Special Cuisine,8.0,0.0,0.0,72.0,No,Non-Religious,1,0,5.0,,,,"Taxi, Bus, Metro",,300,,,60,180,,4.5,0,,5,,,,,,
Andhra Pradesh,Visakhapatnam,Kailasagiri,Hill,Unknown,2.0,4.5,0.0,Yes,Open All Days,Recreational,Yes,0.019,All,India,https://www.google.com/maps/search/?api=1&query=Kailasagiri%2C%20Visakhapatnam%2C%20Andhra%20Pradesh%2C%20India,Visakhapatnam Airport,Visakhapatnam Railway Station,"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Evening,City Center,Family & Friends,Mid-Range,No,2.0,No,No,No,0.0,Jagadamba Centre,Venkateswara Swamy Hotel,October to March,Visakhapatnam Special Cuisine,8.0,0.0,0.0,72.0,No,Non-Religious,9,0,5.0,,,,"Taxi, Bus, Metro",,300,,,60,180,,4.5,0,,5,,,,,,
Andhra Pradesh,Visakhapatnam,Submarine Museum,Museum,Unknown,1.0,4.6,40.0,Yes,Open All Days,Historical,Yes,0.49,All,India,https://www.google.com/maps/search/?api=1&query=Submarine%20Museum%2C%20Visakhapatnam%2C%20Andhra%20Pradesh%2C%20India,Visakhapatnam Airport,Visakhapatnam Railway Station,"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Afternoon,City Center,Family & Friends,Mid-Range,No,2.0,No,No,No,0.0,Jagadamba Centre,Venkateswara Swamy Hotel,October to March,Visakhapatnam Special Cuisine,8.0,0.0,0.0,74.0,No,Non-Religious,10,0,5.2,,,,"Taxi, Bus, Metro",,300,,,60,180,,4.6,0,,5,,,,,,
Andhra Pradesh,Visakhapatnam,Borra Caves,Cave,Unknown,2.0,4.5,60.0,No,Open All Days,Natural Wonder,Yes,0.31,Afternoon,India,https://www.google.com/maps/search/?api=1&query=Borra%20Caves%2C%20Visakhapatnam%2C%20Andhra%20Pradesh%2C%20India,Visakhapatnam Airport,Visakhapatnam Railway Station,"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Flexible,City Center,Family & Friends,Mid-Range,No,2.0,No,No,No,0.0,Jagadamba Centre,Venkateswara Swamy Hotel,October to March,Visakhapatnam Special Cuisine,8.0,0.0,0.0,72.0,No,Non-Religious,7,0,5.0,,,,"Taxi, Bus, Metro",,300,,,60,180,,4.5,0,,5,,,,,,
Andhra Pradesh,Visakhapatnam,War Memorial,War Memorial,Unknown,1.0,4.6,0.0,Yes,Open All Days,Historical,Yes,0.059,All,India,https://www.google.com/maps/search/?api=1&query=War%20Memorial%2C%20Visakhapatnam%2C%20Andhra%20Pradesh%2C%20India,Visakhapatnam Airport,Visakhapatnam Railway Station,"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Flexible,City Center,Family & Friends,Mid-Range,No,2.0,No,No,No,0.0,Jagadamba Centre,Venkateswara Swamy Hotel,October to March,Visakhapatnam Special Cuisine,8.0,0.0,0.0,74.0,No,Non-Religious,11,0,5.2,,,,"Taxi, Bus, Metro",,300,,,60,180,,4.6,0,,5,,,,,,
Andhra Pradesh,Visakhapatnam,Indira Gandhi Zoological Park,Zoo,1977,2.0,4.1,20.0,Yes,Monday,Wildlife,Yes,0.25,Afternoon,India,https://www.google.com/maps/search/?api=1&query=Indira%20Gandhi%20Zoological%20Park%2C%20Visakhapatnam%2C%20Andhra%20Pradesh%2C%20India,Visakhapatnam Airport,Visakhapatnam Railway Station,"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Morning,City Center,Family & Friends,Mid-Range,No,2.0,No,No,No,0.0,Jagadamba Centre,Venkateswara Swamy Hotel,October to March,Visakhapatnam Special Cuisine,8.0,0.0,0.0,66.0,No,Non-Religious,12,0,4.2,,,,"Taxi, Bus, Metro",,300,,,60,180,,4.1,0,,5,,,,,,
Andhra Pradesh,Visakhapatnam,Matsyadarshini Aquarium,Aquarium,Unknown,1.0,3.8,20.0,Yes,Open All Days,Recreational,Yes,0.03,All,India,https://www.google.com/maps/search/?api=1&query=Matsyadarshini%20Aquarium%2C%20Visakhapatnam%2C%20Andhra%20Pradesh%2C%20India,Visakhapatnam Airport,Visakhapatnam Railway Station,"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Flexible,City Center,Family & Friends,Mid-Range,No,2.0,No,No,No,0.0,Jagadamba Centre,Venkateswara Swamy Hotel,October to March,Visakhapatnam Special Cuisine,8.0,0.0,0.0,61.0,No,Non-Religious,13,0,3.6,,,,"Taxi, Bus, Metro",,300,,,60,180,,3.8,0,,5,,,,,,
Andhra Pradesh,Visakhapatnam,Visakha Museum,Museum,1991,1.0,4.3,10.0,Yes,Open All Days,Cultural,Yes,0.065,All,India,https://www.google.com/maps/search/?api=1&query=Visakha%20Museum%2C%20Visakhapatnam%2C%20Andhra%20Pradesh%2C%20India,Visakhapatnam Airport,Visakhapatnam Railway Station,"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Afternoon,City Center,Family & Friends,Mid-Range,No,2.0,No,No,No,0.0,Jagadamba Centre,Venkateswara Swamy Hotel,October to March,Visakhapatnam Special Cuisine,8.0,0.0,0.0,69.0,No,Non-Religious,10,0,4.6,,,,"Taxi, Bus, Metro",,300,,,60,180,,4.3,0,,5,,,,,,
Andhra Pradesh,Vizianagaram,Simhachalam Temple,Temple,Unknown,1.0,4.7,0.0,Yes,Open All Days,Religious,No,0.59,All,India,https://www.google.com/maps/search/?api=1&query=Simhachalam%20Temple%2C%20Vizianagaram%2C%20Andhra%20Pradesh%2C%20India,Unknown,Unknown,"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Morning,City Center,Family & Friends,Mid-Range,No,2.0,No,No,No,0.0,Vizianagaram Main Market,Vizianagaram Famous Restaurant,October to March,Vizianagaram Special Cuisine,8.0,0.0,0.0,75.0,No,Religious Heritage,3,1,5.4,,,,"Taxi, Bus, Metro",,300,,,60,180,,4.7,0,,5,,,,,,
Arunachal Pradesh,Tawang,Tawang Monastery,Monastery,1680,2.0,4.7,0.0,No,Open All Days,Religious,No,0.032,Morning,India,https://www.google.com/maps/search/?api=1&query=Tawang%20Monastery%2C%20Tawang%2C%20Arunachal%20Pradesh%2C%20India,Tezpur Airport,Tezpur Railway Station,"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Flexible,City Center,Family & Friends,Mid-Range,No,2.0,No,No,No,0.0,Tawang Main Market,Tawang Famous Restaurant,October to March,Tawang Special Cuisine,8.0,0.0,0.0,75.0,No,Non-Religious,14,0,5.4,,,,"Taxi, Bus, Metro",,300,,,60,180,,4.7,0,,5,,,,,,
Assam,Guwahati,Kamakhya Temple,Temple,Unknown,2.0,4.6,0.0,Yes,Open All Days,Religious,No,0.21,All,India,https://www.google.com/maps/search/?api=1&query=Kamakhya%20Temple%2C%20Guwahati%2C%20Assam%2C%20India,Lokpriya Gopinath Bordoloi International Airport,Guwahati Railway Station,"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Morning,City Center,Family & Friends,Mid-Range,No,2.0,No,No,No,0.0,Pan Bazaar,Khorikaa,October to March,Guwahati Special Cuisine,8.0,0.0,0.0,74.0,No,Religious Heritage,3,1,5.2,,,,"Taxi, Bus, Metro",,300,,,60,180,,4.6,0,,5,,,,,,
Assam,Guwahati,Umananda Island,Island,Ancient,1.0,4.1,0.0,Yes,Open All Days,Nature,Yes,0.01,Morning,India,https://www.google.com/maps/search/?api=1&query=Umananda%20Island%2C%20Guwahati%2C%20Assam%2C%20India,Lokpriya Gopinath Bordoloi International Airport,Guwahati Railway Station,"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Flexible,City Center,Family & Friends,Mid-Range,No,2.0,No,No,No,0.0,Pan Bazaar,Khorikaa,October to March,Guwahati Special Cuisine,8.0,0.0,0.0,66.0,No,Non-Religious,15,0,4.2,,,,"Taxi, Bus, Metro",,300,,,60,180,,4.1,0,,5,,,,,,
Assam,Guwahati,Pobitora Wildlife Sanctuary,Wildlife Sanctuary,1987,2.0,4.4,500.0,Yes,Open All Days,Wildlife,Yes,0.037,All,India,https://www.google.com/maps/search/?api=1&query=Pobitora%20Wildlife%20Sanctuary%2C%20Guwahati%2C%20Assam%2C%20India,Lokpriya Gopinath Bordoloi International Airport,Guwahati Railway Station,"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Morning,City Center,Family & Friends,Mid-Range,No,2.0,No,No,No,0.0,Pan Bazaar,Khorikaa,October to March,Guwahati Special Cuisine,8.0,0.0,0.0,70.0,No,Non-Religious,16,0,4.8,,,,"Taxi, Bus, Metro",,300,,,60,180,,4.4,0,,5,,,,,,
Assam,Hajo,Hayagriva Madhava Temple,Temple,Unknown,1.0,4.5,0.0,No,Open All Days,Religious,Yes,0.9,All,India,https://www.google.com/maps/search/?api=1&query=Hayagriva%20Madhava%20Temple%2C%20Hajo%2C%20Assam%2C%20India,Unknown,Unknown,"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Morning,City Center,Family & Friends,Mid-Range,No,2.0,No,No,No,0.0,Hajo Main Market,Hajo Famous Restaurant,October to March,Hajo Special Cuisine,8.0,0.0,0.0,72.0,No,Religious Heritage,3,1,5.0,,,,"Taxi, Bus, Metro",,300,,,60,180,,4.5,0,,5,,,,,,
Assam,Kaziranga,Kaziranga National Park,National Park,1905,3.0,4.5,650.0,No,Open All Days,Wildlife,No,0.068,Morning,India,https://www.google.com/maps/search/?api=1&query=Kaziranga%20National%20Park%2C%20Kaziranga%2C%20Assam%2C%20India,Jorhat Airport,Furkating Junction,"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Morning,City Center,Family & Friends,Mid-Range,No,2.0,No,No,No,0.0,Kaziranga Main Market,Kaziranga Famous Restaurant,October to March,Kaziranga Special Cuisine,8.0,0.0,0.0,72.0,No,Non-Religious,17,0,5.0,,,,"Taxi, Bus, Metro",,300,,,60,180,,4.5,0,,5,,,,,,
Assam,Majuli,Majuli Island,River Island,Unknown,2.0,4.7,0.0,No,Open All Days,Cultural,Yes,0.01,Morning,India,https://www.google.com/maps/search/?api=1&query=Majuli%20Island%2C%20Majuli%2C%20Assam%2C%20India,Jorhat Airport,Jorhat Railway Station,"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Flexible,City Center,Family & Friends,Mid-Range,No,2.0,No,No,No,0.0,Majuli Main Market,Majuli Famous Restaurant,October to March,Majuli Special Cuisine,8.0,0.0,0.0,75.0,No,Non-Religious,18,0,5.4,,,,"Taxi, Bus, Metro",,300,,,60,180,,4.7,0,,5,,,,,,
Assam,Manas,Manas National Park,National Park,1990,3.0,4.6,500.0,No,Open All Days,Wildlife,Yes,0.19,Morning,India,https://www.google.com/maps/search/?api=1&query=Manas%20National%20Park%2C%20Manas%2C%20Assam%2C%20India,Unknown,Unknown,"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Morning,City Center,Family & Friends,Mid-Range,No,2.0,No,No,No,0.0,Manas Main Market,Manas Famous Restaurant,October to March,Manas Special Cuisine,8.0,0.0,0.0,74.0,No,Non-Religious,17,0,5.2,,,,"Taxi, Bus, Metro",,300,,,60,180,,4.6,0,,5,,,,,,
Assam,Sivasagar,Sivasagar Sivadol,Temple,1734,1.0,4.7,0.0,No,Open All Days,Historical,Yes,0.065,All,India,https://www.google.com/maps/search/?api=1&query=Sivasagar%20Sivadol%2C%20Sivasagar%2C%20Assam%2C%20India,Unknown,Unknown,"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Morning,City Center,Family & Friends,Mid-Range,No,2.0,No,No,No,0.0,Sivasagar Main Market,Sivasagar Famous Restaurant,October to March,Sivasagar Special Cuisine,8.0,0.0,0.0,75.0,No,Non-Religious,3,0,5.4,,,,"Taxi, Bus, Metro",,300,,,60,180,,4.7,0,,5,,,,,,
Bihar,Bodh Gaya,Mahabodhi Temple,Temple,Unknown,1.5,4.7,0.0,Yes,Open All Days,Religious,Yes,0.2,All,India,https://www.google.com/maps/search/?api=1&query=Mahabodhi%20Temple%2C%20Bodh%20Gaya%2C%20Bihar%2C%20India,Gaya International Airport,Gaya Junction,"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Morning,City Center,Family & Friends,Mid-Range,No,2.0,No,No,No,0.0,Bodh Gaya Main Market,Bodh Gaya Famous Restaurant,October to March,Bodh Gaya Special Cuisine,8.0,0.0,0.0,75.0,No,Religious Heritage,3,1,5.4,,,,"Taxi, Bus, Metro",,300,,,60,180,,4.7,0,,5,,,,,,
Bihar,Patna,Sanjay Gandhi Biological Park,Zoo,Unknown,2.5,4.3,30.0,Yes,Open All Days,Wildlife,Yes,0.5,All,India,https://www.google.com/maps/search/?api=1&query=Sanjay%20Gandhi%20Biological%20Park%2C%20Patna%2C%20Bihar%2C%20India,Jay Prakash Narayan International Airport,Patna Junction,"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Morning,City Center,Family & Friends,Mid-Range,No,2.0,No,No,No,0.0,Maurya Lok,Bansi Vihar,October to March,Patna Special Cuisine,8.0,0.0,0.0,69.0,No,Non-Religious,12,0,4.6,,,,"Taxi, Bus, Metro",,300,,,60,180,,4.3,0,,5,,,,,,
Bihar,Patna,Takhat Shri Harimandir Ji Patna Sahib,Gurudwara,Unknown,1.0,4.7,0.0,Yes,Open All Days,Religious,Yes,0.25,All,India,https://www.google.com/maps/search/?api=1&query=Takhat%20Shri%20Harimandir%20Ji%20Patna%20Sahib%2C%20Patna%2C%20Bihar%2C%20India,Jay Prakash Narayan International Airport,Patna Junction,"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Morning,City Center,Family & Friends,Mid-Range,No,2.0,No,No,No,0.0,Maurya Lok,Bansi Vihar,October to March,Patna Special Cuisine,8.0,0.0,0.0,75.0,No,Non-Religious,19,0,5.4,,,,"Taxi, Bus, Metro",,300,,,60,180,,4.7,0,,5,,,,,,
Bihar,Patna,Budhha Smriti Park,Park,Unknown,1.0,4.4,10.0,Yes,Open All Days,Cultural,Yes,0.31,All,India,https://www.google.com/maps/search/?api=1&query=Budhha%20Smriti%20Park%2C%20Patna%2C%20Bihar%2C%20India,Jay Prakash Narayan International Airport,Patna Junction,"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Morning,City Center,Family & Friends,Mid-Range,No,2.0,No,No,No,0.0,Maurya Lok,Bansi Vihar,October to March,Patna Special Cuisine,8.0,0.0,0.0,70.0,No,Non-Religious,20,0,4.8,,,,"Taxi, Bus, Metro",,300,,,60,180,,4.4,0,,5,,,,,,
Chhattisgarh,Bastar,Chitrakote Falls,Waterfall,Ancient,1.5,4.6,0.0,No,Open All Days,Nature,Yes,0.19,Morning,India,https://www.google.com/maps/search/?api=1&query=Chitrakote%20Falls%2C%20Bastar%2C%20Chhattisgarh%2C%20India,Unknown,Unknown,"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Morning,City Center,Family & Friends,Mid-Range,No,2.0,No,No,No,0.0,Bastar Main Market,Bastar Famous Restaurant,October to March,Bastar Special Cuisine,8.0,0.0,0.0,74.0,No,Non-Religious,21,0,5.2,,,,"Taxi, Bus, Metro",,300,,,60,180,,4.6,0,,5,,,,,,
